Player,Position,Games Played,Solo Tackles,Asst Tackles,Total Tackles,Tackles Per Game,Total Sacks,Sacks Per Game,Forced Fumbles,Fumbles Recovered,Passes Defended,Int,Int Ret Yds,Yds Per Int,Int Ret TDs
Chris Board,LB,49,55,38,93,1.9,2.5,0.05,2.0,0.0,2.0,0.0,0.0,0.0,0
Chris Borland,RILB,14,84,24,108,7.71,1.0,0.07,0.0,1.0,4.0,2.0,12.0,6.0,0
Chris Canty,RDE,15,20,10,30,2.0,2.0,0.13,2.0,0.0,4.0,0.0,0.0,0.0,0
Chris Claybrooks,CB,29,50,18,68,2.34,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0
Chris Clemons,RDE,16,27,9,36,2.25,8.0,0.5,4.0,1.0,3.0,0.0,0.0,0.0,0
Chris Clemons,SS,16,63,30,93,5.81,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0
Chris Conte,FS,28,104,28,132,4.71,0.0,0.0,2.0,0.0,10.0,6.0,54.0,9.0,0
Chris Conte,SS,44,180,45,225,5.11,0.0,0.0,5.0,1.0,19.0,5.0,69.0,13.8,1
Chris Cook,RCB,12,41,6,47,3.92,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
Chris Crocker,DB,12,28,9,37,3.08,1.5,0.12,0.0,0.0,7.0,2.0,41.0,20.5,1
Chris Culliver,RCB,14,38,7,45,3.21,0.0,0.0,1.0,1.0,14.0,4.0,61.0,15.25,0
Chris Harris Jr.,DB,33,81,22,103,3.12,1.5,0.05,1.0,0.0,11.0,2.0,51.0,25.5,0
Chris Harris Jr.,LCB,32,102,19,121,3.78,0.0,0.0,1.0,0.0,20.0,4.0,12.0,3.0,0
Chris Harris Jr.,RCB,76,229,36,265,3.49,2.0,0.03,5.0,2.0,51.0,12.0,286.0,23.83,2
Chris Houston,LCB,12,38,6,44,3.67,0.0,0.0,0.0,0.0,9.0,2.0,34.0,17.0,0
Chris Jackson,S,12,29,5,34,2.83,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0
Chris Jones,DB,20,35,6,41,2.05,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
Chris Jones,DT,17,30,14,44,2.59,15.5,0.91,2.0,1.0,4.0,0.0,0.0,0.0,0
Chris Jones,DT/RDE,13,16,7,23,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chris Jones,LDE,16,22,10,32,2.0,6.5,0.41,4.0,0.0,7.0,1.0,-3.0,-3.0,0
Chris Jones,LDT,15,23,13,36,2.4,7.5,0.5,2.0,0.0,4.0,0.0,0.0,0.0,0
Chris Jones,LDT/RDT,13,23,13,36,2.77,9.0,0.69,1.0,1.0,4.0,0.0,0.0,0.0,0
Chris Jones,RDE,32,52,16,68,2.12,17.5,0.55,2.0,0.0,9.0,1.0,20.0,20.0,1
Chris Jones,RDT,13,25,29,54,4.15,6.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0
Chris Jones,RDT/LDE,14,18,9,27,1.93,9.0,0.64,1.0,1.0,5.0,0.0,0.0,0.0,0
Chris Long,DE,16,20,8,28,1.75,5.0,0.31,4.0,0.0,0.0,0.0,0.0,0.0,0
Chris Long,LDE,32,55,20,75,2.34,12.5,0.39,2.0,3.0,5.0,0.0,0.0,0.0,0
Chris McCain,LB,15,18,2,20,1.33,5.0,0.33,2.0,0.0,0.0,0.0,0.0,0.0,0
Chris Owens,DB,24,73,18,91,3.79,3.0,0.12,1.0,2.0,7.0,0.0,0.0,0.0,0
Chris Prosinski,DB,16,19,6,25,1.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Chris Prosinski,FS,13,25,6,31,2.38,1.0,0.08,1.0,1.0,0.0,0.0,0.0,0.0,0
Chris Smith,DE,16,17,9,26,1.62,3.0,0.19,1.0,0.0,2.0,0.0,0.0,0.0,0
Chris Westry,DB,6,17,0,17,2.83,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
Chris Wormley,LDE,15,29,22,51,3.4,7.0,0.47,1.0,0.0,3.0,0.0,0.0,0.0,0
Chris Wormley,RDE,16,17,16,33,2.06,1.5,0.09,0.0,0.0,2.0,0.0,0.0,0.0,0
Christian Barmore,DT,17,23,23,46,2.71,1.5,0.09,0.0,0.0,2.0,0.0,0.0,0.0,0
Christian Benford,CB,9,17,7,24,2.67,0.0,0.0,0.0,0.0,5.0,1.0,35.0,35.0,0
Christian Covington,DT,16,30,22,52,3.25,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0
Christian Covington,LDE,16,16,10,26,1.62,1.0,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0
Christian Covington,RDT,16,20,8,28,1.75,1.0,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0
Christian Harris,LB,12,46,28,74,6.17,1.0,0.08,1.0,0.0,5.0,1.0,20.0,20.0,0
Christian Jones,LILB,16,60,30,90,5.62,2.0,0.12,1.0,1.0,2.0,0.0,0.0,0.0,0
