Player,Position,Games Played,Targets,Receptions,Catch Percentage,Reception Yds,Reception Yds Per Attempt,Reception Yds Per Game,Reception TD,Rush,Rush Yds,Rush TD,Rush Yds Per Attempt,Rush Yds Per Game
Van Jefferson,WR,44,164.0,93,56.71,1391,14.96,2.11,10,3.0,19.0,0.0,6.33,0.58
Vance McDonald,TE,90,244.0,157,64.34,1645,10.48,1.74,11,1.0,2.0,0.0,2.0,0.14
Vance McDonald,WR,11,45.0,24,53.33,391,16.29,2.18,4,0.0,0.0,0.0,0.0,0.0
Velus Jones Jr.,WR,12,14.0,7,50.0,107,15.29,0.58,1,9.0,103.0,1.0,11.44,8.58
Vernon Davis,TE,94,375.0,238,63.47,3211,13.49,2.53,23,1.0,4.0,0.0,4.0,0.29
Victor Cruz,WR,35,235.0,135,57.45,1921,14.23,3.86,6,0.0,0.0,0.0,0.0,0.0
Vincent Brown,WR,24,93.0,54,58.06,612,11.33,2.25,1,0.0,0.0,0.0,0.0,0.0
Vincent Jackson,WR,47,396.0,196,49.49,2942,15.01,4.17,12,1.0,0.0,0.0,0.0,0.0
Virgil Green,TE,110,138.0,94,68.12,1058,11.26,0.85,7,2.0,3.0,0.0,1.5,0.23
Visanthe Shiancoe,TE,1,2.0,2,100.0,2,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0
Vyncint Smith,WR,27,44.0,23,52.27,329,14.3,0.85,1,3.0,52.0,1.0,17.33,4.0
Walt Powell,WR,9,25.0,14,56.0,142,10.14,1.56,0,0.0,0.0,0.0,0.0,0.0
Wan'Dale Robinson,WR,6,31.0,23,74.19,227,9.87,3.83,1,2.0,-1.0,0.0,-0.5,-0.17
Wendall Williams,WR,3,7.0,4,57.14,75,18.75,1.33,0,0.0,0.0,0.0,0.0,0.0
Wes Welker,WR,35,197.0,135,68.53,1344,9.96,3.86,12,0.0,0.0,0.0,0.0,0.0
Weslye Saunders,TE,6,11.0,4,36.36,46,11.5,0.67,0,0.0,0.0,0.0,0.0,0.0
Will Dissly,TE,56,134.0,110,82.09,1249,11.35,1.96,12,1.0,7.0,0.0,7.0,1.17
Will Fuller,WR,55,341.0,213,62.46,3136,14.72,3.87,24,4.0,6.0,0.0,1.5,0.17
Will Tye,TE,32,138.0,94,68.12,897,9.54,2.94,4,0.0,0.0,0.0,0.0,0.0
Willie Snead,WR,95,418.0,279,66.75,3431,12.3,2.94,16,3.0,15.0,0.0,5.0,0.47
Xavier Grimble,TE,47,41.0,23,56.1,239,10.39,0.49,3,0.0,0.0,0.0,0.0,0.0
Zach Ertz,TE,144,1018.0,682,66.99,7247,10.63,4.74,45,1.0,4.0,0.0,4.0,0.24
Zach Gentry,TE,38,49.0,39,79.59,303,7.77,1.03,0,0.0,0.0,0.0,0.0,0.0
Zach Miller,TE,50,208.0,140,67.31,1624,11.6,2.8,16,0.0,0.0,0.0,0.0,0.0
Zach Pascal,WR,81,277.0,165,59.57,2038,12.35,2.04,16,7.0,47.0,0.0,6.71,0.72
Zach Sudfeld,TE,30,17.0,10,58.82,148,14.8,0.33,0,0.0,0.0,0.0,0.0,0.0
Zay Jones,WR,95,432.0,253,58.56,2707,10.7,2.66,16,8.0,24.0,0.0,3.0,0.38
