Player,Position,Games Played,Pass Att,Pass Comp,Pass Comp Percentage,Int,Pass TD,Pass Yds,Pass Yds Per Comp,Pass Yds Per Game,Rush,Rush Yds,Rush Yds Per Attempt,Rush TD,Rush Yds Per Game
Cam Humphrey,QB,23,394,243,61.68,10,27,3022,12.44,131.39,0.0,0.0,0.0,0.0,0.0
Cam Jackson,RB,10,1,1,100.0,0,1,75,75.0,7.5,330.0,2454.0,7.44,15.0,57.07
Cam Miller,QB,36,454,293,64.54,11,29,3782,12.91,105.06,177.0,737.0,4.16,19.0,32.04
Camden Orth,QB,10,262,145,55.34,5,10,1665,11.48,166.5,0.0,0.0,0.0,0.0,0.0
Cameron Friel,QB,9,226,141,62.39,11,6,1608,11.4,178.67,0.0,0.0,0.0,0.0,0.0
Cameron Rising,QB,26,705,453,64.26,13,46,5527,12.2,212.58,74.0,499.0,6.74,6.0,38.38
Cameron Rosendahl,QB,12,394,241,61.17,10,14,3023,12.54,251.92,0.0,0.0,0.0,0.0,0.0
Cameron Towns,QB,11,25,16,64.0,1,0,150,9.38,13.64,0.0,0.0,0.0,0.0,0.0
Cameron Ward,QB,32,1390,887,63.81,23,94,10140,11.43,316.88,0.0,0.0,0.0,0.0,0.0
Cardale Jones,QB,10,176,110,62.5,5,8,1460,13.27,146.0,0.0,0.0,0.0,0.0,0.0
Carlos Blackman,RB,13,2,2,100.0,0,2,84,42.0,6.46,640.0,2870.0,4.48,31.0,58.57
Carlos Washington Jr.,RB,10,1,1,100.0,0,1,48,48.0,4.8,402.0,1863.0,4.63,19.0,56.45
Carlton Aiken,QB,4,123,75,60.98,7,3,709,9.45,177.25,0.0,0.0,0.0,0.0,0.0
Carson Camp,QB,16,406,262,64.53,11,20,3220,12.29,201.25,0.0,0.0,0.0,0.0,0.0
Carson Crawford,WR,27,14,7,50.0,1,3,250,35.71,9.26,0.0,0.0,0.0,0.0,0.0
Carson Earp,QB,9,123,71,57.72,2,5,975,13.73,108.33,0.0,0.0,0.0,0.0,0.0
Carson Royal,QB,11,248,122,49.19,9,7,1360,11.15,123.64,0.0,0.0,0.0,0.0,0.0
Carson Strong,QB,31,1252,852,68.05,19,74,9368,11.0,302.19,0.0,0.0,0.0,0.0,0.0
Carson Wentz,QB,16,358,228,63.69,10,25,3111,13.64,194.44,138.0,642.0,4.65,6.0,40.12
Carter Bradley,QB,17,516,331,64.15,17,37,4175,12.61,245.59,0.0,0.0,0.0,0.0,0.0
Carter Peevy,QB,17,187,103,55.08,6,10,1611,15.64,94.76,71.0,186.0,2.62,4.0,20.67
Carter Stanley,QB,21,556,327,58.81,18,28,3772,11.54,179.62,0.0,0.0,0.0,0.0,0.0
Case Cookus,QB,35,1278,788,61.66,18,90,10644,13.51,304.11,0.0,0.0,0.0,0.0,0.0
Case McCoy,QB,13,329,187,56.84,13,11,1933,10.34,148.69,0.0,0.0,0.0,0.0,0.0
Casey Bauman,QB,12,85,41,48.24,0,1,450,10.98,37.5,0.0,0.0,0.0,0.0,0.0
Casey Cochran,QB,8,175,111,63.43,4,11,1293,11.65,161.62,0.0,0.0,0.0,0.0,0.0
Casey Pachall,QB,7,236,133,56.36,10,6,1468,11.04,209.71,0.0,0.0,0.0,0.0,0.0
Casey Thompson,QB,22,535,338,63.18,19,41,4520,13.37,205.45,0.0,0.0,0.0,0.0,0.0
Caylin Newton,QB,21,567,289,50.97,29,35,5061,17.51,241.0,322.0,1257.0,3.9,16.0,59.86
Cephus Johnson III,QB,30,229,146,63.76,6,12,1743,11.94,58.1,104.0,611.0,5.88,8.0,50.92
Chad Chalich,QB,7,184,113,61.41,3,5,1224,10.83,174.86,0.0,0.0,0.0,0.0,0.0
Chad Kanoff,QB,30,1014,654,64.5,22,43,7514,11.49,250.47,0.0,0.0,0.0,0.0,0.0
Chad Kelly,QB,22,786,503,63.99,21,50,6800,13.52,309.09,107.0,500.0,4.67,10.0,38.46
Chad Voytik,QB,13,287,176,61.32,7,16,2233,12.69,171.77,108.0,466.0,4.31,3.0,35.85
Chance Nolan,QB,13,318,204,64.15,10,19,2677,13.12,205.92,0.0,0.0,0.0,0.0,0.0
Chandler Burks,QB,38,410,217,52.93,13,32,3600,16.59,94.74,605.0,2807.0,4.64,56.0,73.87
Chandler Fields,QB,8,182,106,58.24,4,11,1123,10.59,140.38,0.0,0.0,0.0,0.0,0.0
Chandler Rogers,QB,24,501,331,66.07,10,24,3704,11.19,154.33,0.0,0.0,0.0,0.0,0.0
Chandler Whitmer,QB,12,223,124,55.61,8,11,1522,12.27,126.83,0.0,0.0,0.0,0.0,0.0
Charlie Brewer,QB,44,1304,828,63.5,28,65,9700,11.71,220.45,0.0,0.0,0.0,0.0,0.0
Charlie Dean,QB,9,285,169,59.3,7,18,2101,12.43,233.44,0.0,0.0,0.0,0.0,0.0
Chase Brice,QB,37,1091,654,59.95,32,64,8428,12.89,227.78,0.0,0.0,0.0,0.0,0.0
Chase Cunningham,QB,20,639,419,65.57,13,37,4474,10.68,223.7,0.0,0.0,0.0,0.0,0.0
Chase Fourcade,QB,50,1350,804,59.56,47,70,10707,13.32,214.14,322.0,1294.0,4.02,25.0,47.93
Chase Garbers,QB,36,959,598,62.36,24,50,6582,11.01,182.83,0.0,0.0,0.0,0.0,0.0
Chase Litton,QB,34,1197,727,60.74,31,72,8332,11.46,245.06,0.0,0.0,0.0,0.0,0.0
Chase Rettig,QB,13,263,162,61.6,8,17,1995,12.31,153.46,0.0,0.0,0.0,0.0,0.0
Chason Virgil,QB,34,1214,725,59.72,35,55,8846,12.2,260.18,0.0,0.0,0.0,0.0,0.0
Chauncey Caldwell,QB,11,214,115,53.74,3,10,1411,12.27,128.27,128.0,494.0,3.86,5.0,44.91
Chazz Surratt,QB,9,183,107,58.47,3,8,1342,12.54,149.11,0.0,0.0,0.0,0.0,0.0
Chevan Cordeiro,QB,32,1093,649,59.38,23,54,8127,12.52,253.97,116.0,483.0,4.16,7.0,53.67
Chris Andrews,QB,20,351,161,45.87,11,14,2007,12.47,100.35,0.0,0.0,0.0,0.0,0.0
Chris Brown,QB,22,283,164,57.95,6,24,2311,14.09,105.05,578.0,3034.0,5.25,38.0,101.13
Chris Coleman,WR,11,1,1,100.0,0,0,34,34.0,3.09,0.0,0.0,0.0,0.0,0.0
Chris Duncan,QB,35,675,336,49.78,29,29,4086,12.16,116.74,44.0,167.0,3.8,0.0,33.4
Chris Faddoul,K,11,2,2,100.0,0,0,35,17.5,3.18,0.0,0.0,0.0,0.0,0.0
Chris Ferguson,QB,33,938,525,55.97,31,49,5977,11.38,181.12,0.0,0.0,0.0,0.0,0.0
Chris Helbig,QB,12,419,276,65.87,12,15,2952,10.7,246.0,0.0,0.0,0.0,0.0,0.0
Chris Herron,QB,11,5,3,60.0,1,1,39,13.0,3.55,0.0,0.0,0.0,0.0,0.0
Chris Laviano,QB,12,307,187,60.91,12,16,2247,12.02,187.25,0.0,0.0,0.0,0.0,0.0
Chris Murray,QB,22,338,167,49.41,17,21,2375,14.22,107.95,329.0,1984.0,6.03,22.0,90.18
Chris Oladokun,QB,34,712,444,62.36,16,44,5449,12.27,160.26,127.0,493.0,3.88,8.0,41.08
Chris Reynolds,QB,46,1273,793,62.29,35,84,10266,12.95,223.17,153.0,791.0,5.17,6.0,60.85
Chris Robison,QB,26,775,483,62.32,18,40,6234,12.91,239.77,0.0,0.0,0.0,0.0,0.0
Chris Streveler,QB,23,754,480,63.66,17,54,6081,12.67,264.39,329.0,1542.0,4.69,20.0,67.04
Chris Willson,QB,10,31,11,35.48,3,1,211,19.18,21.1,0.0,0.0,0.0,0.0,0.0
Christian Alexander,QB,12,344,200,58.14,9,8,1934,9.67,161.17,0.0,0.0,0.0,0.0,0.0
Christian Chapman,QB,27,494,299,60.53,10,33,3867,12.93,143.22,0.0,0.0,0.0,0.0,0.0
Christian Hackenberg,QB,38,1235,693,56.11,31,48,8457,12.2,222.55,0.0,0.0,0.0,0.0,0.0
Christian Stewart,QB,11,348,199,57.18,9,25,2621,13.17,238.27,0.0,0.0,0.0,0.0,0.0
Christopher  Zellous,QB,9,44,23,52.27,4,3,376,16.35,41.78,0.0,0.0,0.0,0.0,0.0
Christopher Fowler,QB,10,223,143,64.13,7,6,1565,10.94,156.5,0.0,0.0,0.0,0.0,0.0
Chuckie Keeton,QB,6,196,136,69.39,2,18,1388,10.21,231.33,0.0,0.0,0.0,0.0,0.0
Chuckie Looney,QB,11,339,196,57.82,8,30,2763,14.1,251.18,103.0,395.0,3.83,6.0,35.91
Clay Holgorsen,QB,10,190,109,57.37,6,9,1240,11.38,124.0,0.0,0.0,0.0,0.0,0.0
Clay Millen,QB,10,234,169,72.22,6,10,1910,11.3,191.0,0.0,0.0,0.0,0.0,0.0
Clay Norris,QB,20,275,148,53.82,13,4,1248,8.43,62.4,0.0,0.0,0.0,0.0,0.0
Clayton Moore,QB,10,275,139,50.55,12,15,2009,14.45,200.9,152.0,635.0,4.18,5.0,63.5
Clayton Thorson,QB,53,1696,991,58.43,45,61,10731,10.83,202.47,0.0,0.0,0.0,0.0,0.0
Clayton Tune,QB,42,1381,897,64.95,39,96,11201,12.49,266.69,128.0,544.0,4.25,5.0,41.85
Clifton McDowell,QB,9,21,10,47.62,2,2,115,11.5,12.78,0.0,0.0,0.0,0.0,0.0
Clint Chelf,QB,12,291,164,56.36,8,17,2173,13.25,181.08,63.0,369.0,5.86,7.0,30.75
Clint Trickett,QB,11,419,281,67.06,10,18,3285,11.69,298.64,0.0,0.0,0.0,0.0,0.0
Cody Clements,QB,23,599,354,59.1,23,27,4499,12.71,195.61,0.0,0.0,0.0,0.0,0.0
Cody Fajardo,QB,23,763,482,63.17,14,31,5166,10.72,224.61,318.0,1667.0,5.24,21.0,72.48
Cody Green,QB,8,211,117,55.45,8,7,1339,11.44,167.38,0.0,0.0,0.0,0.0,0.0
Cody Kessler,QB,41,1259,849,67.43,19,88,10330,12.17,251.95,0.0,0.0,0.0,0.0,0.0
Cody Orgeron,QB,41,935,548,58.61,18,50,6655,12.14,162.32,248.0,739.0,2.98,6.0,38.89
Cody Sokol,QB,14,448,260,58.04,13,30,3436,13.22,245.43,0.0,0.0,0.0,0.0,0.0
Cody Stroud,QB,13,370,211,57.03,7,28,2935,13.91,225.77,0.0,0.0,0.0,0.0,0.0
Cody Swain,WR,11,1,1,100.0,0,1,62,62.0,5.64,0.0,0.0,0.0,0.0,0.0
Cody Williams,QB,11,311,182,58.52,11,12,1868,10.26,169.82,0.0,0.0,0.0,0.0,0.0
Colby Kirkegaard,QB,12,359,206,57.38,9,12,2660,12.91,221.67,0.0,0.0,0.0,0.0,0.0
Colby Suits,QB,8,249,152,61.04,7,8,1541,10.14,192.62,0.0,0.0,0.0,0.0,0.0
Cole Copeland,QB,9,213,125,58.69,9,6,1555,12.44,172.78,0.0,0.0,0.0,0.0,0.0
Cole Doyle,QB,11,216,141,65.28,3,21,1930,13.69,175.45,0.0,0.0,0.0,0.0,0.0
Cole Garvin,QB,8,232,122,52.59,7,7,1490,12.21,186.25,0.0,0.0,0.0,0.0,0.0
Cole Johnson,QB,22,588,396,67.35,11,52,5412,13.67,246.0,0.0,0.0,0.0,0.0,0.0
Cole Kelley,QB,33,950,685,72.11,16,72,8602,12.56,260.67,161.0,485.0,3.01,16.0,37.31
Cole McDonald,QB,27,995,611,61.41,24,69,8010,13.11,296.67,0.0,0.0,0.0,0.0,0.0
Cole Northrup,QB,3,77,48,62.34,3,4,602,12.54,200.67,0.0,0.0,0.0,0.0,0.0
Cole Payton,QB,13,12,8,66.67,1,0,51,6.38,3.92,0.0,0.0,0.0,0.0,0.0
Cole Smith,QB,10,301,201,66.78,8,14,2570,12.79,257.0,0.0,0.0,0.0,0.0,0.0
Cole Snyder,QB,13,461,271,58.79,8,18,3030,11.18,233.08,0.0,0.0,0.0,0.0,0.0
Cole Stoudt,QB,13,302,191,63.25,10,9,1892,9.91,145.54,0.0,0.0,0.0,0.0,0.0
Colin McGovern,QB,21,732,471,64.34,19,34,5359,11.38,255.19,0.0,0.0,0.0,0.0,0.0
Colin Reardon,QB,22,717,414,57.74,25,26,4423,10.68,201.05,88.0,336.0,3.82,2.0,30.55
Collin Hill,QB,18,417,246,58.99,13,13,2798,11.37,155.44,0.0,0.0,0.0,0.0,0.0
Collin Ramirez,QB,10,128,58,45.31,5,5,1017,17.53,101.7,0.0,0.0,0.0,0.0,0.0
Collin Schlee,QB,11,266,157,59.02,5,13,2109,13.43,191.73,98.0,489.0,4.99,4.0,44.45
Conley Wilkins,RB,11,3,2,66.67,0,1,53,26.5,4.82,553.0,2584.0,4.67,31.0,80.75
Conner Hempel,QB,8,238,157,65.97,5,15,1866,11.89,233.25,0.0,0.0,0.0,0.0,0.0
Conner Manning,QB,22,776,466,60.05,20,30,5830,12.51,265.0,0.0,0.0,0.0,0.0,0.0
Conner Martin,QB,11,53,32,60.38,1,3,310,9.69,28.18,0.0,0.0,0.0,0.0,0.0
Connor Bazelak,QB,31,1127,699,62.02,27,36,7227,10.34,233.13,0.0,0.0,0.0,0.0,0.0
Connor Christiansen,QB,11,233,136,58.37,4,7,1246,9.16,113.27,0.0,0.0,0.0,0.0,0.0
Connor Cook,QB,40,1153,664,57.59,21,70,9100,13.7,227.5,0.0,0.0,0.0,0.0,0.0
Connor Degenhardt,QB,17,379,203,53.56,9,16,2519,12.41,148.18,0.0,0.0,0.0,0.0,0.0
Connor Frazier,QB,22,560,331,59.11,16,16,3382,10.22,153.73,156.0,475.0,3.04,2.0,39.58
Connor Halliday,QB,22,1240,803,64.76,33,66,8470,10.55,385.0,0.0,0.0,0.0,0.0,0.0
Connor Michelsen,QB,10,234,151,64.53,3,8,1507,9.98,150.7,0.0,0.0,0.0,0.0,0.0
Connor Sampson,QB,29,1134,721,63.58,29,43,7019,9.74,242.03,0.0,0.0,0.0,0.0,0.0
Connor Shaw,QB,13,284,180,63.38,1,24,2447,13.59,188.23,154.0,558.0,3.62,6.0,42.92
Connor Watkins,QB,14,238,133,55.88,11,16,2129,16.01,152.07,83.0,467.0,5.63,9.0,42.45
Connor Wood,QB,7,157,84,53.5,7,8,1103,13.13,157.57,0.0,0.0,0.0,0.0,0.0
Conor Bednarski,QB,21,363,192,52.89,9,15,2191,11.41,104.33,0.0,0.0,0.0,0.0,0.0
Conor Blount,QB,18,250,148,59.2,4,8,1554,10.5,86.33,0.0,0.0,0.0,0.0,0.0
Conor Regan,QB,32,379,188,49.6,12,15,2268,12.06,70.88,0.0,0.0,0.0,0.0,0.0
Cooper Kupp,WR,13,7,5,71.43,0,2,135,27.0,10.38,0.0,0.0,0.0,0.0,0.0
Cooper Legas,QB,10,221,135,61.09,10,11,1499,11.1,149.9,0.0,0.0,0.0,0.0,0.0
Cooper Rush,QB,50,1648,1022,62.01,55,90,12894,12.62,257.88,0.0,0.0,0.0,0.0,0.0
"Corey FIELDS,Jr.",QB,21,567,272,47.97,23,29,3456,12.71,164.57,0.0,0.0,0.0,0.0,0.0
Corey Newble,QB,11,66,39,59.09,2,4,247,6.33,22.45,0.0,0.0,0.0,0.0,0.0
Corey Robinson,QB,12,421,285,67.7,9,20,3219,11.29,268.25,0.0,0.0,0.0,0.0,0.0
Cornelious Brown,QB,10,304,178,58.55,10,17,2278,12.8,227.8,0.0,0.0,0.0,0.0,0.0
Cory Murphy,QB,11,369,205,55.56,14,13,2312,11.28,210.18,0.0,0.0,0.0,0.0,0.0
Craige Saxton,WR,12,2,2,100.0,0,1,88,44.0,7.33,0.0,0.0,0.0,0.0,0.0
Creyton Cooper,QB,9,9,5,55.56,0,2,56,11.2,6.22,0.0,0.0,0.0,0.0,0.0
Cross Wilkinson,QB,3,75,46,61.33,1,1,400,8.7,133.33,0.0,0.0,0.0,0.0,0.0
Cyler Miles,QB,12,329,219,66.57,4,17,2397,10.95,199.75,0.0,0.0,0.0,0.0,0.0
D'Andre Hicks,WR,9,2,1,50.0,0,0,46,46.0,5.11,0.0,0.0,0.0,0.0,0.0
D'Eriq King,QB,32,813,520,63.96,13,66,6928,13.32,216.5,241.0,1212.0,5.03,18.0,55.09
D'Shaie Landor,QB,9,185,93,50.27,4,7,1228,13.2,136.44,0.0,0.0,0.0,0.0,0.0
D'Vonn Gibbons,QB,21,303,143,47.19,14,15,2032,14.21,96.76,313.0,881.0,2.81,10.0,41.95
D'Wan Mathis,QB,7,195,116,59.49,4,6,1225,10.56,175.0,0.0,0.0,0.0,0.0,0.0
D.J. Uiagalelei,QB,10,117,78,66.67,0,5,914,11.72,91.4,0.0,0.0,0.0,0.0,0.0
D.J. Williams,QB,10,260,119,45.77,8,11,1457,12.24,145.7,0.0,0.0,0.0,0.0,0.0
DJ Crook,QB,10,208,111,53.37,8,8,1168,10.52,116.8,0.0,0.0,0.0,0.0,0.0
DJ Golatt,QB,10,118,63,53.39,4,6,694,11.02,69.4,0.0,0.0,0.0,0.0,0.0
DJ Irons,QB,10,379,253,66.75,7,10,2606,10.3,260.6,0.0,0.0,0.0,0.0,0.0
DJ Uiagalelei,QB,26,744,437,58.74,17,31,4767,10.91,183.35,142.0,545.0,3.84,7.0,41.92
DJ Williams,QB,11,149,83,55.7,4,3,1020,12.29,92.73,82.0,532.0,6.49,6.0,48.36
Daelyn Williams,QB,8,63,24,38.1,0,1,272,11.33,34.0,0.0,0.0,0.0,0.0,0.0
Dak Prescott,QB,37,1140,716,62.81,23,66,9182,12.82,248.16,504.0,2403.0,4.77,37.0,64.95
Dakota Prukop,QB,28,750,481,64.13,18,54,6798,14.13,242.79,328.0,1763.0,5.38,24.0,80.14
Dakota Wolf,QB,12,226,140,61.95,9,10,1483,10.59,123.58,122.0,549.0,4.5,9.0,45.75
Dallas Davis,QB,20,524,298,56.87,19,19,4061,13.63,203.05,0.0,0.0,0.0,0.0,0.0
Dalton Banks,QB,30,950,569,59.89,39,33,6162,10.83,205.4,0.0,0.0,0.0,0.0,0.0
Dalton Easton,QB,33,1053,580,55.08,38,70,7468,12.88,226.3,0.0,0.0,0.0,0.0,0.0
Dalton Sneed,QB,23,822,528,64.23,21,47,6159,11.66,267.78,131.0,675.0,5.15,6.0,61.36
Dalton Sturm,QB,34,808,479,59.28,18,48,5709,11.92,167.91,120.0,545.0,4.54,2.0,49.55
Dalyn Williams,QB,29,875,547,62.51,13,49,6484,11.85,223.59,267.0,1007.0,3.77,11.0,53.0
Damarcus Smith,QB,10,212,99,46.7,5,8,1010,10.2,101.0,0.0,0.0,0.0,0.0,0.0
Damian Williams,QB,12,333,194,58.26,9,12,2061,10.62,171.75,0.0,0.0,0.0,0.0,0.0
Damien Fleming,QB,22,515,292,56.7,26,23,3175,10.87,144.32,0.0,0.0,0.0,0.0,0.0
Damion May,QB,19,201,92,45.77,8,8,1007,10.95,53.0,0.0,0.0,0.0,0.0,0.0
Dan Ellington,QB,24,647,401,61.98,13,34,4566,11.39,190.25,319.0,1293.0,4.05,11.0,53.88
Dane Evans,QB,38,1382,820,59.33,37,80,10782,13.15,283.74,0.0,0.0,0.0,0.0,0.0
Daniel Collins,QB,20,591,301,50.93,26,24,3917,13.01,195.85,0.0,0.0,0.0,0.0,0.0
Daniel David,QB,20,51,26,50.98,3,6,588,22.62,29.4,131.0,473.0,3.61,14.0,47.3
Daniel Duhart,QB,31,727,407,55.98,17,35,5148,12.65,166.06,0.0,0.0,0.0,0.0,0.0
Daniel Epperson,QB,11,172,91,52.91,12,6,1023,11.24,93.0,0.0,0.0,0.0,0.0,0.0
Daniel Jones,QB,36,1275,764,59.92,29,52,8201,10.73,227.81,161.0,518.0,3.22,7.0,39.85
Daniel Kniffin,QB,11,22,15,68.18,0,0,146,9.73,13.27,0.0,0.0,0.0,0.0,0.0
Daniel Parr,QB,13,311,188,60.45,11,20,2447,13.02,188.23,0.0,0.0,0.0,0.0,0.0
Daniel Richardson,QB,29,737,434,58.89,13,43,5390,12.42,185.86,0.0,0.0,0.0,0.0,0.0
Daniel Sams,QB,21,375,183,48.8,13,20,2290,12.51,109.05,448.0,2452.0,5.47,24.0,72.12
Daniel Santacaterina,QB,26,730,424,58.08,25,46,5291,12.48,203.5,0.0,0.0,0.0,0.0,0.0
Daniel Smith,QB,50,1313,739,56.28,32,94,10000,13.53,200.0,324.0,2394.0,7.39,37.0,72.55
Daniel Thompson,QB,20,372,199,53.49,11,5,2026,10.18,101.3,0.0,0.0,0.0,0.0,0.0
Danny Croghan,QB,10,150,85,56.67,4,7,1014,11.93,101.4,0.0,0.0,0.0,0.0,0.0
Danny Etling,QB,32,811,474,58.45,14,37,6276,13.24,196.12,0.0,0.0,0.0,0.0,0.0
Dano Graves,QB,12,153,97,63.4,4,17,1485,15.31,123.75,225.0,1053.0,4.68,9.0,55.42
Dante Chachere,QB,11,248,148,59.68,8,19,1956,13.22,177.82,110.0,609.0,5.54,7.0,55.36
Dante Perri,QB,20,582,341,58.59,14,17,3596,10.55,179.8,0.0,0.0,0.0,0.0,0.0
Dante Vandeven,QB,9,250,155,62.0,7,11,1568,10.12,174.22,0.0,0.0,0.0,0.0,0.0
Darell Garretson,QB,18,430,254,59.07,15,16,2911,11.46,161.72,0.0,0.0,0.0,0.0,0.0
Darian Stone,QB,22,353,188,53.26,10,9,1937,10.3,88.05,285.0,1031.0,3.62,8.0,46.86
Darius Perrantes,QB,9,233,139,59.66,7,17,1620,11.65,180.0,0.0,0.0,0.0,0.0,0.0
Darius Wilson,QB,22,416,257,61.78,15,22,3457,13.45,157.14,170.0,920.0,5.41,8.0,41.82
Daron Bryden,QB,9,160,79,49.38,8,7,954,12.08,106.0,0.0,0.0,0.0,0.0,0.0
Darrel Colbert,QB,21,356,189,53.09,15,22,2474,13.09,117.81,158.0,597.0,3.78,10.0,49.75
Darren Grainger,QB,38,686,389,56.71,14,50,5380,13.83,141.58,297.0,1394.0,4.69,9.0,55.76
Darrien Boone,QB,11,81,43,53.09,3,2,420,9.77,38.18,0.0,0.0,0.0,0.0,0.0
Darryl Pearson,QB,10,122,53,43.44,3,4,481,9.08,48.1,0.0,0.0,0.0,0.0,0.0
David Blough,QB,35,1272,769,60.46,39,60,8631,11.22,246.6,0.0,0.0,0.0,0.0,0.0
David Fales,QB,12,487,312,64.07,13,33,4189,13.43,349.08,0.0,0.0,0.0,0.0,0.0
David Israel,QB,11,110,54,49.09,7,4,801,14.83,72.82,0.0,0.0,0.0,0.0,0.0
David Moore,QB,6,164,94,57.32,4,5,1143,12.16,190.5,0.0,0.0,0.0,0.0,0.0
David Pindell,QB,12,314,186,59.24,13,19,1962,10.55,163.5,212.0,1139.0,5.37,10.0,94.92
David Salmon,QB,11,139,58,41.73,5,4,745,12.84,67.73,0.0,0.0,0.0,0.0,0.0
David Washington,QB,22,501,296,59.08,8,39,3991,13.48,181.41,0.0,0.0,0.0,0.0,0.0
David Watford,QB,22,742,411,55.39,29,29,4290,10.44,195.0,0.0,0.0,0.0,0.0,0.0
Davis Alexander,QB,35,1063,616,57.95,28,58,7967,12.93,227.63,234.0,941.0,4.02,17.0,40.91
Davis Brin,QB,22,661,392,59.3,24,35,5382,13.73,244.64,0.0,0.0,0.0,0.0,0.0
Davis Cheek,QB,34,1029,622,60.45,19,47,7530,12.11,221.47,0.0,0.0,0.0,0.0,0.0
Davis Mills,QB,13,436,287,65.83,8,18,3468,12.08,266.77,0.0,0.0,0.0,0.0,0.0
Davis Webb,QB,22,981,608,61.98,21,57,7013,11.53,318.77,0.0,0.0,0.0,0.0,0.0
Davius Richard,QB,34,941,545,57.92,25,52,6791,12.46,199.74,130.0,788.0,6.06,15.0,65.67
De'Andre Johnson,QB,10,255,153,60.0,5,10,1926,12.59,192.6,0.0,0.0,0.0,0.0,0.0
DeAndre Clayton,QB,9,45,27,60.0,5,4,277,10.26,30.78,0.0,0.0,0.0,0.0,0.0
Deandre Harris,QB,39,554,302,54.51,28,31,3940,13.05,101.03,0.0,0.0,0.0,0.0,0.0
Deangelo Ballard,QB,21,544,249,45.77,12,19,3513,14.11,167.29,176.0,663.0,3.77,7.0,60.27
Dejerric Bryant,QB,11,290,129,44.48,8,11,1097,8.5,99.73,151.0,676.0,4.48,8.0,61.45
Dejuan Miller,WR,5,3,1,33.33,0,0,17,17.0,3.4,0.0,0.0,0.0,0.0,0.0
Delmon Williams,QB,9,216,137,63.43,9,22,2035,14.85,226.11,0.0,0.0,0.0,0.0,0.0
Dematrius Davis,QB,9,158,94,59.49,4,7,1201,12.78,133.44,0.0,0.0,0.0,0.0,0.0
Demeatric Crenshaw,QB,19,237,136,57.38,7,11,1338,9.84,70.42,132.0,599.0,4.54,7.0,66.56
Denarius McGhee,QB,10,265,175,66.04,4,8,2087,11.93,208.7,0.0,0.0,0.0,0.0,0.0
Dennis Grosel,QB,8,192,111,57.81,7,6,1216,10.95,152.0,0.0,0.0,0.0,0.0,0.0
Deondre Francois,QB,36,1157,667,57.65,33,61,8603,12.9,238.97,0.0,0.0,0.0,0.0,0.0
Deonte Shorts,QB,20,91,47,51.65,0,2,632,13.45,31.6,0.0,0.0,0.0,0.0,0.0
Dequan Finn,QB,25,566,333,58.83,14,41,4336,13.02,173.44,241.0,1137.0,4.72,18.0,45.48
Derek Carr,QB,13,659,453,68.74,8,50,5082,11.22,390.92,0.0,0.0,0.0,0.0,0.0
Derek Green,QB,11,186,119,63.98,7,4,1245,10.46,113.18,0.0,0.0,0.0,0.0,0.0
Derek Kyler,QB,30,522,362,69.35,6,42,4409,12.18,146.97,0.0,0.0,0.0,0.0,0.0
Derek Thompson,QB,13,390,251,64.36,13,16,2896,11.54,222.77,0.0,0.0,0.0,0.0,0.0
Derrick Ponder,QB,20,320,166,51.88,10,12,1823,10.98,91.15,0.0,0.0,0.0,0.0,0.0
Derrius Vick,QB,10,247,158,63.97,6,10,1809,11.45,180.9,0.0,0.0,0.0,0.0,0.0
Deshaun Watson,QB,30,1070,721,67.38,30,76,8697,12.06,289.9,372.0,1734.0,4.66,21.0,57.8
Deshone Kizer,QB,25,696,423,60.78,19,47,5809,13.73,232.36,134.0,520.0,3.88,10.0,40.0
Desmond Ridder,QB,50,1304,810,62.12,28,87,10239,12.64,204.78,392.0,1814.0,4.63,22.0,50.39
Desmond Trotter,QB,10,248,160,64.52,4,11,1917,11.98,191.7,0.0,0.0,0.0,0.0,0.0
Dev Holmes,WR,11,1,1,100.0,0,1,54,54.0,4.91,0.0,0.0,0.0,0.0,0.0
Devante Kincade,QB,25,709,435,61.35,8,53,5901,13.57,236.04,120.0,408.0,3.4,6.0,31.38
Deveon Bryant,QB,9,42,20,47.62,1,0,256,12.8,28.44,29.0,190.0,6.55,3.0,38.0
Devin Gardner,QB,24,628,382,60.83,26,31,4856,12.71,202.33,165.0,483.0,2.93,11.0,40.25
Devin Leary,QB,30,944,568,60.17,16,62,6807,11.98,226.9,0.0,0.0,0.0,0.0,0.0
Devin Ray,QB,11,14,7,50.0,0,2,53,7.57,4.82,0.0,0.0,0.0,0.0,0.0
Devlin Hodges,QB,44,1896,1310,69.09,41,111,14584,11.13,331.45,0.0,0.0,0.0,0.0,0.0
Diego Pavia,QB,12,190,101,53.16,6,13,1450,14.36,120.83,93.0,508.0,5.46,6.0,42.33
Dillon Buechel,QB,34,1137,653,57.43,33,61,8305,12.72,244.26,0.0,0.0,0.0,0.0,0.0
Dillon Gabriel,QB,35,1178,714,60.61,17,86,10391,14.55,296.89,0.0,0.0,0.0,0.0,0.0
Dominique Allen,QB,35,292,122,41.78,18,10,1975,16.19,56.43,489.0,2191.0,4.48,28.0,62.6
Don King,QB,15,27,18,66.67,1,1,233,12.94,15.53,0.0,0.0,0.0,0.0,0.0
Donald  Hammond III,QB,13,111,56,50.45,6,13,1316,23.5,101.23,121.0,553.0,4.57,13.0,42.54
