Player,Position,Games Played,Receptions,Reception Yds,Reception Yds Per Attempt,Reception TD,Reception Yds Per Game,Rush,Rush Yds,Rush Yds Per Attempt,Rush TD,Rush Yds Per Game
Michael Thomas,WR,53,222,3563,16.05,37,67.23,0.0,0.0,0.0,0.0,0.0
Michael Vice,TE,18,68,811,11.93,5,45.06,0.0,0.0,0.0,0.0,0.0
Michael Wilson,WR,12,56,672,12.0,5,56.0,0.0,0.0,0.0,0.0,0.0
Mikah Holder,WR,26,70,1183,16.9,7,45.5,0.0,0.0,0.0,0.0,0.0
Mike Brooks,WR,12,76,985,12.96,11,82.08,0.0,0.0,0.0,0.0,0.0
Mike Carrigan,WR,23,87,1166,13.4,10,50.7,0.0,0.0,0.0,0.0,0.0
Mike Davis,RB,12,34,352,10.35,0,29.33,402.0,2165.0,5.39,20.0,86.6
Mike Davis,WR,12,51,727,14.25,8,60.58,0.0,0.0,0.0,0.0,0.0
Mike Dudek,WR,13,76,1038,13.66,6,79.85,0.0,0.0,0.0,0.0,0.0
Mike Duncan,WR,12,29,346,11.93,4,28.83,0.0,0.0,0.0,0.0,0.0
Mike Estes,TE,12,18,278,15.44,1,23.17,0.0,0.0,0.0,0.0,0.0
Mike Evans,WR,13,69,1394,20.2,12,107.23,0.0,0.0,0.0,0.0,0.0
Mike Fess,WR,12,75,893,11.91,9,74.42,0.0,0.0,0.0,0.0,0.0
Mike Gesicki,TE,27,105,1242,11.83,14,46.0,0.0,0.0,0.0,0.0,0.0
Mike Harley,WR,23,114,1342,11.77,12,58.35,0.0,0.0,0.0,0.0,0.0
Mike Jones,WR,13,12,319,26.58,4,24.54,0.0,0.0,0.0,0.0,0.0
Mike McLafferty,TE,9,24,501,20.88,4,55.67,0.0,0.0,0.0,0.0,0.0
Mike Sharp,WR,35,163,2298,14.1,29,65.66,84.0,439.0,5.23,2.0,48.78
Mike Williams,WR,41,175,2707,15.47,20,66.02,0.0,0.0,0.0,0.0,0.0
Mike Woods,WR,10,32,619,19.34,5,61.9,0.0,0.0,0.0,0.0,0.0
Mike Yonker,RB,11,18,308,17.11,0,28.0,0.0,0.0,0.0,0.0,0.0
Mikel Hunter,WR,11,45,551,12.24,2,50.09,0.0,0.0,0.0,0.0,0.0
Miles Boykin,WR,13,59,872,14.78,8,67.08,0.0,0.0,0.0,0.0,0.0
Miles Cross,WR,14,47,560,11.91,3,40.0,0.0,0.0,0.0,0.0,0.0
Miles Osei,WR,12,35,349,9.97,1,29.08,0.0,0.0,0.0,0.0,0.0
Miles Thompson,WR,10,37,605,16.35,6,60.5,0.0,0.0,0.0,0.0,0.0
Milton Williams,WR,11,58,888,15.31,5,80.73,0.0,0.0,0.0,0.0,0.0
Milton Williams III,WR,12,50,586,11.72,5,48.83,0.0,0.0,0.0,0.0,0.0
Milton Wright,WR,12,57,732,12.84,7,61.0,0.0,0.0,0.0,0.0,0.0
Mitch Griebel,WR,11,52,544,10.46,2,49.45,0.0,0.0,0.0,0.0,0.0
Mitch Gueller,WR,32,142,2740,19.3,21,85.62,0.0,0.0,0.0,0.0,0.0
Mitch Mathews,WR,35,150,2056,13.71,24,58.74,0.0,0.0,0.0,0.0,0.0
Mitch Roberts,WR,26,107,1285,12.01,6,49.42,0.0,0.0,0.0,0.0,0.0
Mitchell Herbert,WR,22,83,1059,12.76,13,48.14,0.0,0.0,0.0,0.0,0.0
Mitchell Paige,WR,26,115,1330,11.57,10,51.15,0.0,0.0,0.0,0.0,0.0
Mitchell Perkinson,WR,9,28,268,9.57,1,29.78,0.0,0.0,0.0,0.0,0.0
Mitchell Tinsley,WR,39,181,2356,13.02,23,60.41,0.0,0.0,0.0,0.0,0.0
Monaray Baldwin,WR,11,33,565,17.12,4,51.36,0.0,0.0,0.0,0.0,0.0
Montarius Smith,WR,24,123,1814,14.75,11,75.58,0.0,0.0,0.0,0.0,0.0
Montavius Williams,WR,11,46,638,13.87,1,58.0,0.0,0.0,0.0,0.0,0.0
Montrell Washington,WR,18,87,1219,14.01,13,67.72,0.0,0.0,0.0,0.0,0.0
Moose Muhammad III,WR,10,38,610,16.05,4,61.0,0.0,0.0,0.0,0.0,0.0
Morris Norrise,WR,12,81,870,10.74,4,72.5,0.0,0.0,0.0,0.0,0.0
Mose Frazier,WR,13,70,797,11.39,4,61.31,0.0,0.0,0.0,0.0,0.0
Moses Webb,WR,36,119,1617,13.59,12,44.92,0.0,0.0,0.0,0.0,0.0
Mycole Pruitt,TE,22,129,1462,11.33,18,66.45,0.0,0.0,0.0,0.0,0.0
Myron Mitchell,WR,9,29,436,15.03,3,48.44,0.0,0.0,0.0,0.0,0.0
N'Keal Harry,WR,37,213,2889,13.56,22,78.08,0.0,0.0,0.0,0.0,0.0
Nacarius Fant,WR,13,74,704,9.51,4,54.15,0.0,0.0,0.0,0.0,0.0
Naiem Simmons,WR,11,50,796,15.92,6,72.36,0.0,0.0,0.0,0.0,0.0
Najee Harris,RB,13,43,425,9.88,4,32.69,577.0,3473.0,6.02,43.0,84.71
Najee Lovett,WR,12,36,429,11.92,1,35.75,0.0,0.0,0.0,0.0,0.0
Naseim Brantley,WR,10,53,893,16.85,9,89.3,0.0,0.0,0.0,0.0,0.0
Nate Bennett,WR,22,97,1133,11.68,4,51.5,0.0,0.0,0.0,0.0,0.0
Nate McCollum,WR,11,60,655,10.92,3,59.55,0.0,0.0,0.0,0.0,0.0
Nate Mullen,WR,11,55,600,10.91,2,54.55,0.0,0.0,0.0,0.0,0.0
Nate Phillips,WR,26,95,1260,13.26,11,48.46,0.0,0.0,0.0,0.0,0.0
Nate Stanley,WR,12,44,474,10.77,3,39.5,0.0,0.0,0.0,0.0,0.0
Nathan Perera,WR,13,39,595,15.26,5,45.77,0.0,0.0,0.0,0.0,0.0
Nathan Stewart,WR,48,227,4494,19.8,37,93.62,0.0,0.0,0.0,0.0,0.0
Nathaniel Dell,WR,35,228,3155,13.84,32,90.14,0.0,0.0,0.0,0.0,0.0
Nazeviah Burris,WR,10,46,618,13.43,3,61.8,0.0,0.0,0.0,0.0,0.0
Neal Sterling,WR,22,112,1552,13.86,12,70.55,0.0,0.0,0.0,0.0,0.0
Nehari Crawford,WR,24,136,2074,15.25,25,86.42,0.0,0.0,0.0,0.0,0.0
Neiko Creamer,WR,11,40,485,12.12,0,44.09,0.0,0.0,0.0,0.0,0.0
Neil O'Connor,WR,38,226,3044,13.47,19,80.11,0.0,0.0,0.0,0.0,0.0
Neil Pau'u,WR,12,45,603,13.4,4,50.25,0.0,0.0,0.0,0.0,0.0
Nelson Agholor,WR,27,160,2231,13.94,18,82.63,0.0,0.0,0.0,0.0,0.0
Nelson Spruce,WR,37,250,2901,11.6,20,78.41,0.0,0.0,0.0,0.0,0.0
Nevar Griffin,WR,12,56,699,12.48,7,58.25,0.0,0.0,0.0,0.0,0.0
Nic Jacobs,TE,13,32,453,14.16,4,34.85,0.0,0.0,0.0,0.0,0.0
Nic Sblendorio,WR,11,72,912,12.67,5,82.91,0.0,0.0,0.0,0.0,0.0
Niccolo Mastromatteo,WR,12,35,386,11.03,4,32.17,0.0,0.0,0.0,0.0,0.0
Nicholas Norris,WR,40,172,2720,15.81,24,68.0,0.0,0.0,0.0,0.0,0.0
Nick Anderson,WR,12,46,870,18.91,4,72.5,0.0,0.0,0.0,0.0,0.0
Nick Bacarella,WR,12,35,391,11.17,4,32.58,0.0,0.0,0.0,0.0,0.0
Nick Boyle,TE,12,42,474,11.29,7,39.5,0.0,0.0,0.0,0.0,0.0
Nick Cole,WR,12,38,439,11.55,3,36.58,0.0,0.0,0.0,0.0,0.0
Nick DeGennaro,WR,13,51,522,10.24,1,40.15,0.0,0.0,0.0,0.0,0.0
Nick Kurtz,WR,13,39,578,14.82,3,44.46,0.0,0.0,0.0,0.0,0.0
Nick Mardner,WR,13,46,913,19.85,5,70.23,0.0,0.0,0.0,0.0,0.0
Nick Meyer,QB,12,23,296,12.87,1,24.67,0.0,0.0,0.0,0.0,0.0
Nick Muse,TE,10,30,425,14.17,1,42.5,0.0,0.0,0.0,0.0,0.0
Nick O'Leary,TE,28,81,1175,14.51,13,41.96,0.0,0.0,0.0,0.0,0.0
Nick Pearson,WR,20,75,1215,16.2,3,60.75,0.0,0.0,0.0,0.0,0.0
Nick Pitre,WR,10,30,541,18.03,7,54.1,0.0,0.0,0.0,0.0,0.0
Nick Rosa,WR,10,56,858,15.32,9,85.8,0.0,0.0,0.0,0.0,0.0
Nick Westbrook,WR,38,138,2157,15.63,15,56.76,0.0,0.0,0.0,0.0,0.0
Nico Collins,WR,25,75,1361,18.15,13,54.44,0.0,0.0,0.0,0.0,0.0
Nigel King,WR,24,63,987,15.67,5,41.12,0.0,0.0,0.0,0.0,0.0
Nikko Remigio,WR,14,74,852,11.51,6,60.86,0.0,0.0,0.0,0.0,0.0
Nnamdi Agude,WR,22,109,1688,15.49,11,76.73,0.0,0.0,0.0,0.0,0.0
Noah Smith,RB,9,28,261,9.32,4,29.0,89.0,567.0,6.37,6.0,47.25
Noah Wanzek,WR,34,178,2329,13.08,15,68.5,0.0,0.0,0.0,0.0,0.0
Noel Thomas,WR,25,154,1898,12.32,6,75.92,0.0,0.0,0.0,0.0,0.0
Nolan Givan,TE,13,56,572,10.21,6,44.0,0.0,0.0,0.0,0.0,0.0
Norlando Veals,WR,22,80,1504,18.8,14,68.36,0.0,0.0,0.0,0.0,0.0
Nsimba Webster,WR,26,143,2072,14.49,16,79.69,0.0,0.0,0.0,0.0,0.0
Nykeim Johnson,WR,26,95,1185,12.47,7,45.58,0.0,0.0,0.0,0.0,0.0
Nyqwan Murray,WR,24,94,1348,14.34,7,56.17,0.0,0.0,0.0,0.0,0.0
O.J. Howard,TE,30,83,1197,14.42,5,39.9,0.0,0.0,0.0,0.0,0.0
Odell Beckham,WR,13,59,1152,19.53,8,88.62,0.0,0.0,0.0,0.0,0.0
Odieu Hiliare,WR,13,58,747,12.88,6,57.46,0.0,0.0,0.0,0.0,0.0
Olabisi Johnson,WR,36,123,2004,16.29,10,55.67,0.0,0.0,0.0,0.0,0.0
Olamide Zaccheaus,WR,38,229,2537,11.08,21,66.76,0.0,0.0,0.0,0.0,0.0
Omar Bayless,WR,25,132,2219,16.81,19,88.76,0.0,0.0,0.0,0.0,0.0
Ontaria Wilson,WR,9,30,382,12.73,2,42.44,0.0,0.0,0.0,0.0,0.0
Oronde Gadsden II,WR,13,61,975,15.98,6,75.0,0.0,0.0,0.0,0.0,0.0
Osirus Mitchell,WR,11,47,505,10.74,4,45.91,0.0,0.0,0.0,0.0,0.0
Owen Glascoe,WR,21,98,1165,11.89,8,55.48,0.0,0.0,0.0,0.0,0.0
Owen Rockett,WR,12,35,716,20.46,3,59.67,0.0,0.0,0.0,0.0,0.0
PJ Wells,WR,11,37,574,15.51,3,52.18,0.0,0.0,0.0,0.0,0.0
Pace Temple,WR,33,211,3150,14.93,18,95.45,0.0,0.0,0.0,0.0,0.0
Papi White,RB,12,41,672,16.39,6,56.0,0.0,0.0,0.0,0.0,0.0
Papi White,WR,22,98,1618,16.51,12,73.55,0.0,0.0,0.0,0.0,0.0
Parker Washington,WR,32,146,1920,13.15,12,60.0,0.0,0.0,0.0,0.0,0.0
Parris Campbell,WR,27,130,1647,12.67,15,61.0,0.0,0.0,0.0,0.0,0.0
Patrick Gant,WR,12,39,363,9.31,3,30.25,0.0,0.0,0.0,0.0,0.0
Patrick Smith,WR,46,214,3175,14.84,37,69.02,0.0,0.0,0.0,0.0,0.0
Paul McRoberts,WR,23,120,1586,13.22,18,68.96,0.0,0.0,0.0,0.0,0.0
Paul Rice,WR,23,111,1248,11.24,2,54.26,0.0,0.0,0.0,0.0,0.0
Paul Richardson,WR,12,83,1343,16.18,10,111.92,0.0,0.0,0.0,0.0,0.0
Paul Turner,WR,11,45,657,14.6,3,59.73,0.0,0.0,0.0,0.0,0.0
Paxton Scott,WR,10,46,505,10.98,4,50.5,0.0,0.0,0.0,0.0,0.0
Payne Durham,TE,13,56,560,10.0,8,43.08,0.0,0.0,0.0,0.0,0.0
Penny Hart,WR,37,194,2889,14.89,18,78.08,0.0,0.0,0.0,0.0,0.0
Peter Lloyd,WR,10,48,633,13.19,3,63.3,0.0,0.0,0.0,0.0,0.0
Peyton Hendershot,TE,25,98,1165,11.89,8,46.6,0.0,0.0,0.0,0.0,0.0
Peyton Logan,RB,7,30,226,7.53,1,32.29,349.0,2245.0,6.43,12.0,77.41
Pharoh Cooper,WR,25,135,2109,15.62,17,84.36,0.0,0.0,0.0,0.0,0.0
Phazahn Odom,TE,12,37,492,13.3,7,41.0,0.0,0.0,0.0,0.0,0.0
Phazione McClurge,DB,10,41,677,16.51,3,67.7,0.0,0.0,0.0,0.0,0.0
Phil Dudley,WR,11,39,321,8.23,1,29.18,0.0,0.0,0.0,0.0,0.0
Phil Mayhue,WR,26,93,1347,14.48,5,51.81,0.0,0.0,0.0,0.0,0.0
Phillip Baptiste,WR,21,90,1528,16.98,12,72.76,0.0,0.0,0.0,0.0,0.0
Phillip Brooks,WR,27,88,1130,12.84,6,41.85,0.0,0.0,0.0,0.0,0.0
Phillip Dorsett,WR,13,36,871,24.19,10,67.0,0.0,0.0,0.0,0.0,0.0
Pierre Williams,WR,45,182,2971,16.32,24,66.02,0.0,0.0,0.0,0.0,0.0
Poppy Livers,WR,25,120,1577,13.14,12,63.08,0.0,0.0,0.0,0.0,0.0
Preston Williams,WR,12,96,1345,14.01,14,112.08,0.0,0.0,0.0,0.0,0.0
Puka Nacua,WR,21,91,1430,15.71,11,68.1,0.0,0.0,0.0,0.0,0.0
Quan Hampton,WR,7,33,359,10.88,0,51.29,0.0,0.0,0.0,0.0,0.0
Quan Shorts,WR,23,156,1536,9.85,13,66.78,0.0,0.0,0.0,0.0,0.0
Quartney Davis,WR,11,54,616,11.41,4,56.0,0.0,0.0,0.0,0.0,0.0
Quay Johnson,WR,12,58,563,9.71,3,46.92,0.0,0.0,0.0,0.0,0.0
Quentin Atkinson,WR,12,49,615,12.55,5,51.25,0.0,0.0,0.0,0.0,0.0
Quentin Johnston,WR,32,115,2190,19.04,14,68.44,0.0,0.0,0.0,0.0,0.0
Quenton Bundrage,WR,12,48,676,14.08,9,56.33,0.0,0.0,0.0,0.0,0.0
Quez Watkins,WR,22,136,2067,15.2,15,93.95,0.0,0.0,0.0,0.0,0.0
Quian Williams,WR,38,176,2224,12.64,13,58.53,0.0,0.0,0.0,0.0,0.0
Quincy Adeboyejo,WR,13,38,604,15.89,7,46.46,0.0,0.0,0.0,0.0,0.0
Quincy Enunwa,WR,13,51,753,14.76,12,57.92,0.0,0.0,0.0,0.0,0.0
Quincy Forte,RB,14,23,279,12.13,5,19.93,179.0,1208.0,6.75,11.0,86.29
Quinn McElfresh,WR,11,57,889,15.6,5,80.82,0.0,0.0,0.0,0.0,0.0
Quinn Revere,WR,3,19,214,11.26,0,71.33,0.0,0.0,0.0,0.0,0.0
Quinshad Davis,WR,27,103,1368,13.28,14,50.67,0.0,0.0,0.0,0.0,0.0
Quintez Cephus,WR,14,59,901,15.27,7,64.36,0.0,0.0,0.0,0.0,0.0
Quintin Hunter,WR,12,33,491,14.88,3,40.92,0.0,0.0,0.0,0.0,0.0
Quintin Morris,TE,12,55,649,11.8,4,54.08,0.0,0.0,0.0,0.0,0.0
Quintin Payton,WR,12,23,481,20.91,3,40.08,0.0,0.0,0.0,0.0,0.0
Quinton Cross,WR,17,64,829,12.95,4,48.76,0.0,0.0,0.0,0.0,0.0
Quinton Dunbar,WR,12,40,548,13.7,0,45.67,0.0,0.0,0.0,0.0,0.0
Quinton Lane,WR,10,46,720,15.65,8,72.0,0.0,0.0,0.0,0.0,0.0
Quinton Pedroza,WR,12,59,674,11.42,3,56.17,0.0,0.0,0.0,0.0,0.0
Quron Pratt,WR,13,32,516,16.12,0,39.69,0.0,0.0,0.0,0.0,0.0
R.J. Harris,WR,26,176,2555,14.52,20,98.27,0.0,0.0,0.0,0.0,0.0
R.J. Shelton,WR,12,53,789,14.89,5,65.75,0.0,0.0,0.0,0.0,0.0
R.J. Sneed,WR,23,85,1070,12.59,5,46.52,0.0,0.0,0.0,0.0,0.0
RJ Turner,WR,23,85,1358,15.98,9,59.04,0.0,0.0,0.0,0.0,0.0
RJ Urzendowski,WR,60,149,2435,16.34,22,40.58,0.0,0.0,0.0,0.0,0.0
Ra'Shaun Henry,WR,24,124,1721,13.88,12,71.71,0.0,0.0,0.0,0.0,0.0
RaJae' Johnson,WR,14,36,713,19.81,7,50.93,0.0,0.0,0.0,0.0,0.0
Rakim Jarrett,WR,13,62,829,13.37,5,63.77,0.0,0.0,0.0,0.0,0.0
Raleigh Webb,WR,35,72,1435,19.93,17,41.0,0.0,0.0,0.0,0.0,0.0
Ramaud Chiaokhiao-Bowman,WR,9,41,508,12.39,5,56.44,0.0,0.0,0.0,0.0,0.0
Ramel Keyton,WR,13,31,562,18.13,5,43.23,0.0,0.0,0.0,0.0,0.0
Randal Grimes,WR,11,44,696,15.82,7,63.27,0.0,0.0,0.0,0.0,0.0
Randall Menard,WR,21,46,909,19.76,9,43.29,0.0,0.0,0.0,0.0,0.0
Randall St. Felix,WR,11,33,679,20.58,4,61.73,0.0,0.0,0.0,0.0,0.0
Rannell Hall,WR,13,57,886,15.54,5,68.15,0.0,0.0,0.0,0.0,0.0
Rantavious Wooten,WR,13,30,424,14.13,5,32.62,0.0,0.0,0.0,0.0,0.0
Raphael Leonard,WR,22,91,1377,15.13,12,62.59,0.0,0.0,0.0,0.0,0.0
Raphael Williams,WR,22,120,1617,13.48,15,73.5,0.0,0.0,0.0,0.0,0.0
Rara Thomas,WR,12,44,626,14.23,7,52.17,0.0,0.0,0.0,0.0,0.0
Rasaun Rorie,WR,12,59,735,12.46,5,61.25,0.0,0.0,0.0,0.0,0.0
Rashad Greene,WR,28,175,2493,14.25,16,89.04,0.0,0.0,0.0,0.0,0.0
Rashad Lawrence,WR,12,31,463,14.94,1,38.58,0.0,0.0,0.0,0.0,0.0
Rashad Ponder,WR,26,112,1369,12.22,4,52.65,0.0,0.0,0.0,0.0,0.0
Rashard Davis,WR,26,81,1122,13.85,9,43.15,0.0,0.0,0.0,0.0,0.0
Rashard Higgins,WR,38,239,3649,15.27,31,96.03,0.0,0.0,0.0,0.0,0.0
Rashard Smith,WR,11,49,530,10.82,3,48.18,0.0,0.0,0.0,0.0,0.0
Rashawn Proctor,WR,22,115,1547,13.45,7,70.32,0.0,0.0,0.0,0.0,0.0
Rashawn Scott,WR,13,52,695,13.37,5,53.46,0.0,0.0,0.0,0.0,0.0
Rashee Rice,WR,34,208,2708,13.02,24,79.65,0.0,0.0,0.0,0.0,0.0
Rashid Shaheed,WR,31,86,1505,17.5,10,48.55,0.0,0.0,0.0,0.0,0.0
Rashod Bateman,WR,31,147,2395,16.29,19,77.26,0.0,0.0,0.0,0.0,0.0
Rashon Ceaser,WR,24,142,1836,12.93,8,76.5,0.0,0.0,0.0,0.0,0.0
Ray Bolden,WR,32,171,2081,12.17,15,65.03,0.0,0.0,0.0,0.0,0.0
Rayjuon Pringle,WR,17,58,1088,18.76,10,64.0,0.0,0.0,0.0,0.0,0.0
Rayshad Riddick,WR,12,50,475,9.5,3,39.58,0.0,0.0,0.0,0.0,0.0
Reed Klubnik,WR,20,128,2145,16.76,17,107.25,0.0,0.0,0.0,0.0,0.0
Rees Macshara,RB,12,47,270,5.74,1,22.5,269.0,1185.0,4.41,6.0,53.86
Reese Wiggins,WR,13,26,372,14.31,4,28.62,0.0,0.0,0.0,0.0,0.0
Reggie Begelton,WR,34,205,2260,11.02,19,66.47,0.0,0.0,0.0,0.0,0.0
Reggie Bell,WR,23,105,1829,17.42,16,79.52,0.0,0.0,0.0,0.0,0.0
Reggie Diggs,WR,40,181,2438,13.47,13,60.95,0.0,0.0,0.0,0.0,0.0
Reggie Roberson,WR,34,168,2704,16.1,23,79.53,0.0,0.0,0.0,0.0,0.0
Reggie Todd,WR,23,81,1196,14.77,11,52.0,0.0,0.0,0.0,0.0,0.0
Reggie Travis,WR,12,30,514,17.13,5,42.83,0.0,0.0,0.0,0.0,0.0
Reggie White Jr.,WR,34,214,2941,13.74,26,86.5,0.0,0.0,0.0,0.0,0.0
Reginald Henderson,WR,4,15,285,19.0,0,71.25,0.0,0.0,0.0,0.0,0.0
Remi Simmons,WR,20,80,972,12.15,5,48.6,0.0,0.0,0.0,0.0,0.0
Renard Bell,WR,26,94,1117,11.88,9,42.96,0.0,0.0,0.0,0.0,0.0
Rhashid Bonnette,WR,12,33,582,17.64,2,48.5,0.0,0.0,0.0,0.0,0.0
Ricardo Louis,WR,27,74,1041,14.07,5,38.56,0.0,0.0,0.0,0.0,0.0
Richard Drake,WR,11,31,389,12.55,4,35.36,0.0,0.0,0.0,0.0,0.0
Richard Jules,WR,12,36,351,9.75,0,29.25,0.0,0.0,0.0,0.0,0.0
Richard Montgomery,RB,10,50,543,10.86,1,54.3,0.0,0.0,0.0,0.0,0.0
Richard Mullaney,WR,13,52,788,15.15,3,60.62,0.0,0.0,0.0,0.0,0.0
Richard Rodgers,WR,11,39,608,15.59,1,55.27,0.0,0.0,0.0,0.0,0.0
Richard Sincere,DB,14,24,308,12.83,3,22.0,65.0,406.0,6.25,2.0,29.0
Richie Casey,WR,12,29,313,10.79,0,26.08,0.0,0.0,0.0,0.0,0.0
Richie DeNicola,WR,10,49,513,10.47,4,51.3,0.0,0.0,0.0,0.0,0.0
Richie James,WR,26,213,2971,13.95,20,114.27,0.0,0.0,0.0,0.0,0.0
Richy Turner,WR,25,124,1342,10.82,8,53.68,0.0,0.0,0.0,0.0,0.0
Rickey Bradley,WR,10,19,312,16.42,1,31.2,0.0,0.0,0.0,0.0,0.0
Rickey Galvin,WR,13,39,311,7.97,4,23.92,0.0,0.0,0.0,0.0,0.0
Ricky Jeune,WR,11,25,545,21.8,6,49.55,0.0,0.0,0.0,0.0,0.0
Ricky Jones,WR,26,107,1754,16.39,8,67.46,0.0,0.0,0.0,0.0,0.0
Ricky Pearsall,WR,26,81,1241,15.32,9,47.73,0.0,0.0,0.0,0.0,0.0
Ricky White,WR,12,51,619,12.14,4,51.58,0.0,0.0,0.0,0.0,0.0
Ricky Zorn,WR,10,50,700,14.0,3,70.0,0.0,0.0,0.0,0.0,0.0
Rico Bussey,WR,25,115,1694,14.73,19,67.76,0.0,0.0,0.0,0.0,0.0
Riley Donovan,WR,21,69,1043,15.12,3,49.67,0.0,0.0,0.0,0.0,0.0
Riley Miller,WR,24,104,1490,14.33,13,62.08,0.0,0.0,0.0,0.0,0.0
Riley Ridley,WR,14,44,570,12.95,9,40.71,0.0,0.0,0.0,0.0,0.0
Riley Stapleton,WR,39,168,2099,12.49,22,53.82,0.0,0.0,0.0,0.0,0.0
River Cracraft,WR,42,218,2701,12.39,20,64.31,0.0,0.0,0.0,0.0,0.0
Rob Blanchflower,TE,6,27,313,11.59,3,52.17,0.0,0.0,0.0,0.0,0.0
Rob Coggin,WR,11,30,335,11.17,4,30.45,0.0,0.0,0.0,0.0,0.0
Rob DiNota,WR,11,49,673,13.73,3,61.18,0.0,0.0,0.0,0.0,0.0
Rob Jones,WR,12,43,479,11.14,5,39.92,0.0,0.0,0.0,0.0,0.0
Robbie Cantelli,WR,11,37,634,17.14,13,57.64,0.0,0.0,0.0,0.0,0.0
Robbie Jackson,WR,12,61,574,9.41,5,47.83,0.0,0.0,0.0,0.0,0.0
Robby Anderson,WR,14,70,939,13.41,7,67.07,0.0,0.0,0.0,0.0,0.0
Robert Adams,WR,12,39,576,14.77,3,48.0,0.0,0.0,0.0,0.0,0.0
Robert Brown,TE,12,21,308,14.67,5,25.67,0.0,0.0,0.0,0.0,0.0
Robert Clemons III,WR,8,36,478,13.28,4,59.75,0.0,0.0,0.0,0.0,0.0
Robert Davis,WR,37,178,2680,15.06,13,72.43,0.0,0.0,0.0,0.0,0.0
Robert Ferrel,WR,30,165,1871,11.34,19,62.37,0.0,0.0,0.0,0.0,0.0
Robert Godhigh,RB,13,23,471,20.48,2,36.23,79.0,744.0,9.42,7.0,57.23
Robert Herron,WR,12,72,937,13.01,9,78.08,0.0,0.0,0.0,0.0,0.0
Robert Johnson,WR,13,34,389,11.44,0,29.92,0.0,0.0,0.0,0.0,0.0
Robert Tonyan,WR,35,150,2047,13.65,20,58.49,0.0,0.0,0.0,0.0,0.0
Rod Wright,WR,11,62,963,15.53,14,87.55,0.0,0.0,0.0,0.0,0.0
Roderic Burns,WR,27,98,1478,15.08,5,54.74,0.0,0.0,0.0,0.0,0.0
Rodney Adams,WR,26,112,1644,14.68,14,63.23,0.0,0.0,0.0,0.0,0.0
Rodney Williams II,TE,7,30,327,10.9,4,46.71,0.0,0.0,0.0,0.0,0.0
Roger Lewis,WR,28,158,2637,16.69,23,94.18,0.0,0.0,0.0,0.0,0.0
Rokeem Williams,WR,12,35,682,19.49,3,56.83,0.0,0.0,0.0,0.0,0.0
Roman Gordon,WR,10,41,645,15.73,7,64.5,0.0,0.0,0.0,0.0,0.0
Roman Wilson,WR,10,86,919,10.69,11,91.9,0.0,0.0,0.0,0.0,0.0
Rome Odunze,WR,12,75,1145,15.27,7,95.42,0.0,0.0,0.0,0.0,0.0
Romeo Doubs,WR,44,225,3322,14.76,26,75.5,0.0,0.0,0.0,0.0,0.0
Romon Copeland,WR,10,26,605,23.27,3,60.5,0.0,0.0,0.0,0.0,0.0
Ron Willoughby,WR,23,112,1584,14.14,15,68.87,0.0,0.0,0.0,0.0,0.0
Ron'Quavion Tarver,WR,38,160,1880,11.75,18,49.47,0.0,0.0,0.0,0.0,0.0
Ronald Bell,WR,11,60,674,11.23,7,61.27,0.0,0.0,0.0,0.0,0.0
Ronald Butler,WR,13,24,346,14.42,3,26.62,0.0,0.0,0.0,0.0,0.0
Rondale Moore,WR,13,114,1258,11.04,12,96.77,0.0,0.0,0.0,0.0,0.0
Ronnie Bell,WR,33,136,2048,15.06,6,62.06,0.0,0.0,0.0,0.0,0.0
Ronnie Moore,WR,42,156,2191,14.04,18,52.17,0.0,0.0,0.0,0.0,0.0
Rory Starkey,WR,19,95,1158,12.19,11,60.95,0.0,0.0,0.0,0.0,0.0
Ross Dwelley,TE,35,174,2086,11.99,23,59.6,0.0,0.0,0.0,0.0,0.0
Ross Scheuerman,RB,23,88,858,9.75,7,37.3,454.0,2304.0,5.07,26.0,100.17
Ross Smith,WR,22,92,1086,11.8,7,49.36,0.0,0.0,0.0,0.0,0.0
Roy Alexander,WR,21,84,1170,13.93,5,55.71,0.0,0.0,0.0,0.0,0.0
Ryan Alderman,WR,12,40,548,13.7,2,45.67,0.0,0.0,0.0,0.0,0.0
Ryan Burbrink,WR,41,150,1862,12.41,9,45.41,0.0,0.0,0.0,0.0,0.0
Ryan Cragun,WR,9,58,885,15.26,3,98.33,0.0,0.0,0.0,0.0,0.0
Ryan Culbreath,WR,14,39,515,13.21,4,36.79,0.0,0.0,0.0,0.0,0.0
Ryan Davis,WR,27,153,1361,8.9,6,50.41,0.0,0.0,0.0,0.0,0.0
Ryan DeLuca,WR,7,24,441,18.38,1,63.0,0.0,0.0,0.0,0.0,0.0
Ryan Flournoy,WR,12,61,984,16.13,7,82.0,0.0,0.0,0.0,0.0,0.0
Ryan Grant,WR,13,77,1039,13.49,9,79.92,0.0,0.0,0.0,0.0,0.0
Ryan Lankford,WR,7,15,308,20.53,1,44.0,0.0,0.0,0.0,0.0,0.0
Ryan Markush,WR,22,96,1301,13.55,12,59.14,0.0,0.0,0.0,0.0,0.0
Ryan McDaniel,WR,11,52,678,13.04,4,61.64,0.0,0.0,0.0,0.0,0.0
Ryan McManus,WR,18,115,1477,12.84,9,82.06,0.0,0.0,0.0,0.0,0.0
