Player,Position,Games Played,Receptions,Reception Yds,Reception Yds Per Attempt,Reception TD,Reception Yds Per Game,Rush,Rush Yds,Rush Yds Per Attempt,Rush TD,Rush Yds Per Game
Leroy Henley,WR,13,73,832,11.4,10,64.0,0.0,0.0,0.0,0.0,0.0
Leroy Thomas,WR,20,109,1151,10.56,6,57.55,0.0,0.0,0.0,0.0,0.0
Lester Wells,WR,11,55,652,11.85,4,59.27,0.0,0.0,0.0,0.0,0.0
Levar Gumms,WR,6,20,207,10.35,1,34.5,0.0,0.0,0.0,0.0,0.0
Levern Jacobs,WR,12,47,640,13.62,3,53.33,0.0,0.0,0.0,0.0,0.0
Levi Norwood,WR,13,47,733,15.6,8,56.38,0.0,0.0,0.0,0.0,0.0
Lil'Jordan Humphrey,WR,14,86,1176,13.67,9,84.0,0.0,0.0,0.0,0.0,0.0
Linell Bonner,WR,23,178,2007,11.28,8,87.26,0.0,0.0,0.0,0.0,0.0
Lionell McConnell,WR,6,36,366,10.17,0,61.0,0.0,0.0,0.0,0.0,0.0
Logan McCarter,WR,13,31,555,17.9,5,42.69,0.0,0.0,0.0,0.0,0.0
Logan Parker,TE,12,43,560,13.02,5,46.67,0.0,0.0,0.0,0.0,0.0
Lonnie Moore IV,WR,28,169,2097,12.41,18,74.89,0.0,0.0,0.0,0.0,0.0
Lorenzo Thomas,WR,9,21,253,12.05,0,28.11,0.0,0.0,0.0,0.0,0.0
Louis Hollier Jr.,WR,12,38,637,16.76,7,53.08,0.0,0.0,0.0,0.0,0.0
Lucas Shapiro,WR,9,38,600,15.79,6,66.67,0.0,0.0,0.0,0.0,0.0
Lucky Jackson,WR,37,184,2296,12.48,11,62.05,0.0,0.0,0.0,0.0,0.0
Lucky Whitehead,WR,12,76,706,9.29,6,58.83,0.0,0.0,0.0,0.0,0.0
Lujuan Winningham,WR,28,140,2176,15.54,25,77.71,0.0,0.0,0.0,0.0,0.0
Luke Austin,WR,10,65,951,14.63,11,95.1,0.0,0.0,0.0,0.0,0.0
Luke Grimm,WR,12,52,623,11.98,6,51.92,0.0,0.0,0.0,0.0,0.0
Luke Hagy,RB,10,55,652,11.85,5,65.2,405.0,1807.0,4.46,9.0,64.54
Luke McCaffrey,WR,11,58,723,12.47,6,65.73,0.0,0.0,0.0,0.0,0.0
Luke Timian,WR,12,68,589,8.66,2,49.08,0.0,0.0,0.0,0.0,0.0
Luke Wooten,WR,11,58,657,11.33,5,59.73,0.0,0.0,0.0,0.0,0.0
Lyndon Rash,WR,11,32,518,16.19,5,47.09,0.0,0.0,0.0,0.0,0.0
Lynn Bowden Jr.,WR,13,67,745,11.12,5,57.31,185.0,1468.0,7.94,13.0,112.92
Lynquez Blair,WR,11,52,538,10.35,6,48.91,0.0,0.0,0.0,0.0,0.0
MJ Wright,WR,23,101,1697,16.8,12,73.78,0.0,0.0,0.0,0.0,0.0
Mac Hippenhammer,WR,25,102,1555,15.25,14,62.2,0.0,0.0,0.0,0.0,0.0
Macgarrett Kings,WR,14,43,513,11.93,3,36.64,0.0,0.0,0.0,0.0,0.0
Mack Hollins,WR,27,65,1358,20.89,16,50.3,0.0,0.0,0.0,0.0,0.0
Madison Mangum,WR,22,153,2128,13.91,19,96.73,0.0,0.0,0.0,0.0,0.0
Maika Mataele,WR,13,36,411,11.42,3,31.62,0.0,0.0,0.0,0.0,0.0
Makai Jackson,WR,12,85,991,11.66,9,82.58,0.0,0.0,0.0,0.0,0.0
Makai Polk,WR,13,105,1046,9.96,9,80.46,0.0,0.0,0.0,0.0,0.0
Malachi Corley,WR,28,174,1986,11.41,18,70.93,0.0,0.0,0.0,0.0,0.0
Malachi Dupre,WR,24,84,1291,15.37,9,53.79,0.0,0.0,0.0,0.0,0.0
Malachi Wideman,WR,11,34,540,15.88,12,49.09,0.0,0.0,0.0,0.0,0.0
Malcolm Eugene,WR,10,57,894,15.68,5,89.4,0.0,0.0,0.0,0.0,0.0
Malcolm Johnson,TE,13,30,391,13.03,2,30.08,0.0,0.0,0.0,0.0,0.0
Malcolm Mitchell,WR,13,58,865,14.91,5,66.54,0.0,0.0,0.0,0.0,0.0
Malcolm Williams,WR,12,47,724,15.4,5,60.33,0.0,0.0,0.0,0.0,0.0
Malcome Kennedy,WR,24,113,1269,11.23,13,52.88,0.0,0.0,0.0,0.0,0.0
Malik Cross,WR,9,33,395,11.97,1,43.89,0.0,0.0,0.0,0.0,0.0
Malik Davis,RB,12,31,377,12.16,0,31.42,79.0,526.0,6.66,2.0,75.14
Malik Earl,WR,21,97,1308,13.48,6,62.29,0.0,0.0,0.0,0.0,0.0
Malik Golson,WR,11,55,517,9.4,4,47.0,0.0,0.0,0.0,0.0,0.0
Malik Heath,WR,13,60,971,16.18,5,74.69,0.0,0.0,0.0,0.0,0.0
Malik Knowles,WR,14,48,725,15.1,2,51.79,0.0,0.0,0.0,0.0,0.0
Malik Love,WR,24,129,1253,9.71,4,52.21,0.0,0.0,0.0,0.0,0.0
Malik Nabers,WR,14,72,1017,14.12,3,72.64,0.0,0.0,0.0,0.0,0.0
Malik Stanley,WR,13,40,649,16.23,3,49.92,0.0,0.0,0.0,0.0,0.0
Malik Turner,WR,11,48,712,14.83,6,64.73,0.0,0.0,0.0,0.0,0.0
Malik Washington,WR,24,109,1272,11.67,3,53.0,0.0,0.0,0.0,0.0,0.0
Malik Williams,WR,39,148,1953,13.2,14,50.08,0.0,0.0,0.0,0.0,0.0
Manassah Bailey,WR,11,37,610,16.49,6,55.45,0.0,0.0,0.0,0.0,0.0
