Player,Position,Games Played,Solo Tackles,Asst Tackles,Total Tackles,Tackles Per Game,Solo Sack,Asst Sack,Sack Yds,Total Sacks,Sacks Per Game,Forced Fumbles,Forced Fumbles Per Game,Fumbles Recovered,Passes Defended,Int,Int Ret Yds,Int Ret TDs,Yds Per Int
Anthony Hayes,LB,12,41,47,88,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Hines,LB,13,39,34,73,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Hitchens,LB,13,54,58,112,8.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Jefferson,DB,13,42,47,89,6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Johnson,DB,22,75,36,111,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0
Anthony Koclanakis,LB,12,63,61,124,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Anthony Morales,LB,10,38,62,100,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Nixon,DB,11,38,22,60,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.67
Anthony Pandy,LB,29,105,73,178,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,7.5
Anthony Rhone,LB,12,40,27,67,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Sherrils,DB,11,47,17,64,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Anthony Smith,LB,11,65,59,124,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,0.0,9.33
Anthony Stubbs,LB,10,40,38,78,7.8,9.0,2.0,40.0,10.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Sweeney,DB,10,63,20,83,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Walker,LB,26,126,101,227,8.73,0.0,0.0,0.0,0.0,0.0,4.0,0.31,5.0,0.0,0.0,0.0,0.0,0.0
Anthony Wheeler,LB,14,56,31,87,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Williams,LB,12,48,48,96,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Wilson,DB,37,145,101,246,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Wilson,LB,13,54,45,99,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Wint,LB,36,164,124,288,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Anthony Zappone,LB,11,42,48,90,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antjuan Simmons,LB,20,72,93,165,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Antoine Brooks,LB,36,168,64,232,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Williams,LB,11,42,49,91,8.27,4.0,0.0,45.0,4.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Winfield,DB,13,62,26,88,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,111.0,1.0,15.86
Antonio Benson,LB,11,37,40,77,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Blackmon,DB,13,57,10,67,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Clary,DB,8,31,25,56,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Antonio Grier,LB,32,121,88,209,6.53,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Jackson,DB,11,57,21,78,7.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,76.0,0.0,19.0
Antonio Jefferson,DB,11,57,18,75,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Jenkins,LB,10,58,36,94,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Johnson,DB,34,148,103,251,7.38,0.0,0.0,0.0,0.0,0.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Jones-Davis,LB,14,76,54,130,9.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Antonio Kinard,LB,12,35,58,93,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Longino,LB,13,56,38,94,7.23,10.0,2.0,60.0,11.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Montero,LB,25,61,105,166,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Morrison,LB,26,72,132,204,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Moultrie,DL,12,24,38,62,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Shenault,DB,10,44,20,64,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Turner,LB,21,70,78,148,7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonyo Sotolongo,DB,12,37,19,56,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antwan Collier,DB,13,50,24,74,5.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,80.0,0.0,20.0
Antwione Reese,DB,12,38,50,88,7.33,0.0,0.0,0.0,0.0,0.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Antwione Williams,LB,13,50,57,107,8.23,0.0,0.0,0.0,0.0,0.0,4.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0
Antwon Kincade,DB,39,145,124,269,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Archie Rice,DB,11,41,43,84,7.64,0.0,0.0,0.0,0.0,0.0,3.0,0.33,0.0,0.0,2.0,71.0,0.0,35.5
Ariane McCree,LB,23,96,87,183,7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Arico Evans,DB,12,49,33,82,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arik Smith,LB,38,111,139,250,6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkez Cooper,LB,12,51,43,94,7.83,0.0,0.0,0.0,0.0,0.0,3.0,0.25,2.0,0.0,0.0,0.0,0.0,0.0
Arman Jones,LB,11,35,37,72,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armand Dellovade,LB,22,96,82,178,8.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armani Adams,DB,12,42,27,69,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Armani Marsh,DB,28,111,48,159,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,1.0,14.67
Armani Posey,LB,9,23,29,52,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armani Watts,DB,26,140,73,213,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,15.0,0.0,3.75
Armon Bailey,LB,13,46,42,88,6.77,6.0,0.0,63.0,6.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armoni Holloway,DB,23,113,109,222,9.65,3.0,2.0,43.0,4.0,0.33,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Arnold Ebiketie,DE,18,62,42,104,5.78,13.0,1.0,87.0,13.5,0.75,3.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
Arron Mosby,DB,12,40,38,78,6.5,0.0,0.0,0.0,0.0,0.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Art Laurel,LB,12,47,30,77,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artevius Smith,DB,12,61,27,88,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,63.0,0.0,12.6
Asa Turner,S,10,33,19,52,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
Asantay Brown,DB,25,112,89,201,8.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asauni Rufus,DB,47,205,135,340,7.23,0.0,0.0,0.0,0.0,0.0,6.0,0.29,4.0,0.0,0.0,0.0,0.0,0.0
Ashanti Cistrunk,LB,13,28,44,72,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashtyn Davis,DB,11,33,24,57,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,90.0,1.0,15.0
Asmar Bilal,LB,13,48,31,79,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aubrey Burks,DB,11,46,20,66,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aubrey Miller Jr.,LB,26,112,109,221,8.5,5.0,3.0,55.0,6.5,0.5,5.0,0.38,2.0,0.0,0.0,0.0,0.0,0.0
Auggie Sanchez,LB,12,46,38,84,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auggie Sanchez,RB,26,140,94,234,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augie Contressa,DB,12,50,38,88,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Ajiake,LB,12,59,73,132,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Balthazor,DB,11,40,34,74,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Calitro,LB,11,55,35,90,8.18,0.0,0.0,0.0,0.0,0.0,3.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0
Austin Clark,DB,11,29,44,73,6.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Conrad,DL,3,14,2,16,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Hall,LB,26,108,51,159,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,29.0,0.0,9.67
Austin Hancock,LB,28,106,76,182,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Hasquet,LB,24,87,91,178,7.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,58.0,1.0,19.33
Austin Hawley,S,10,49,28,77,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Lee,DB,11,36,19,55,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Moore,LB,14,57,30,87,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Paulhus,LB,12,49,63,112,9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Perkins,DB,10,33,36,69,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,10.0
Austin Petrie,LB,11,35,45,80,7.27,4.0,3.0,38.0,5.5,0.5,0.0,0.0,0.0,0.0,3.0,46.0,0.0,15.33
Austin Robinson,LB,13,75,53,128,9.85,6.0,0.0,29.0,6.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Tallant,DB,12,43,58,101,8.42,0.0,0.0,0.0,0.0,0.0,3.0,0.25,0.0,0.0,2.0,12.0,0.0,6.0
Austin Valdez,LB,14,58,86,144,10.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auston Johnson,LB,12,38,29,67,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Averie Habas,LB,10,20,36,56,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
