Player,Position,Games Played,Rush,Rush Yds,Rush Yds Per Attempt,Rush TD,Receptions,Reception Yds,Reception Yds Per Attempt,Reception TD
Salvon Ahmed,RB,26,292,1628,5.58,18,0.0,0.0,0.0,0.0
Sam B. Richardson,QB,11,101,356,3.52,2,0.0,0.0,0.0,0.0
Sam Ehlinger,QB,23,276,1040,3.77,15,0.0,0.0,0.0,0.0
Sam Franklin,RB,11,85,676,7.95,8,0.0,0.0,0.0,0.0
Sam Howell,QB,12,183,828,4.52,11,0.0,0.0,0.0,0.0
Sam McPherson,RB,25,284,1987,7.0,15,0.0,0.0,0.0,0.0
Sam Ojuri,RB,15,214,1398,6.53,10,0.0,0.0,0.0,0.0
Sam Schrader,RB,21,178,1098,6.17,19,0.0,0.0,0.0,0.0
Samaje Perine,RB,36,685,4122,6.02,49,0.0,0.0,0.0,0.0
Samson Evans,RB,12,249,1166,4.68,15,0.0,0.0,0.0,0.0
Sandon McCoy,RB,13,134,576,4.3,10,0.0,0.0,0.0,0.0
Santee Marshall,RB,13,106,449,4.24,3,0.0,0.0,0.0,0.0
Santo Dunn,RB,11,74,443,5.99,1,0.0,0.0,0.0,0.0
Saquon Barkley,RB,38,671,3843,5.73,43,54.0,632.0,11.7,3.0
Savon Smith,RB,27,251,1241,4.94,6,0.0,0.0,0.0,0.0
Saylor Lavallii,RB,12,182,807,4.43,5,0.0,0.0,0.0,0.0
Scooter  Adams,RB,6,85,681,8.01,7,0.0,0.0,0.0,0.0
Scott Lathrop,QB,11,139,532,3.83,2,0.0,0.0,0.0,0.0
Scottie Phillips,RB,21,278,1470,5.29,17,0.0,0.0,0.0,0.0
Sean Bell,RB,25,210,1029,4.9,5,0.0,0.0,0.0,0.0
Sean Chambers,QB,20,221,1429,6.47,29,0.0,0.0,0.0,0.0
Sean Clifford,QB,9,99,335,3.38,3,0.0,0.0,0.0,0.0
Sean Goldrich,QB,14,134,417,3.11,6,0.0,0.0,0.0,0.0
Sean Prophit,RB,7,78,573,7.35,3,0.0,0.0,0.0,0.0
Sean Tucker,RB,33,589,3182,5.4,27,0.0,0.0,0.0,0.0
Sean Tyler,RB,25,387,2167,5.6,16,0.0,0.0,0.0,0.0
Seba Nekhet,RB,13,123,660,5.37,2,0.0,0.0,0.0,0.0
Selwyn Simpson,RB,10,92,450,4.89,5,0.0,0.0,0.0,0.0
Sema'J Davis,QB,12,102,621,6.09,4,0.0,0.0,0.0,0.0
Semar Smith,RB,9,113,487,4.31,7,0.0,0.0,0.0,0.0
Senorise Perry,RB,13,141,677,4.8,6,0.0,0.0,0.0,0.0
Seth Collins,QB,8,108,575,5.32,8,0.0,0.0,0.0,0.0
Seth Fisher,RB,25,260,1203,4.63,15,0.0,0.0,0.0,0.0
Seth Higgins,QB,10,102,478,4.69,5,0.0,0.0,0.0,0.0
Seth McGowan,RB,8,58,370,6.38,3,0.0,0.0,0.0,0.0
Seth Morgan,QB,7,56,221,3.95,3,0.0,0.0,0.0,0.0
Seth Rowland,RB,10,95,423,4.45,2,0.0,0.0,0.0,0.0
Seth Wilson,RB,8,72,420,5.83,1,0.0,0.0,0.0,0.0
Sewo Olonilua,RB,25,269,1172,4.36,10,0.0,0.0,0.0,0.0
Shadrach Thornton,RB,24,329,1675,5.09,13,0.0,0.0,0.0,0.0
Shadrick Byrd,RB,24,281,1203,4.28,7,0.0,0.0,0.0,0.0
Shai McKenzie,RB,12,216,1214,5.62,8,0.0,0.0,0.0,0.0
Shai Werts,QB,46,705,3090,4.38,34,0.0,0.0,0.0,0.0
Shakif Seymour,RB,39,391,2008,5.14,22,0.0,0.0,0.0,0.0
Shakir Bell,RB,5,78,420,5.38,1,0.0,0.0,0.0,0.0
Shamari Brooks,RB,45,793,3729,4.7,30,0.0,0.0,0.0,0.0
Shane Hamm,QB,7,92,423,4.6,3,0.0,0.0,0.0,0.0
Shane Simpson,RB,23,292,1495,5.12,9,0.0,0.0,0.0,0.0
Shane Tucker,RB,12,97,486,5.01,8,0.0,0.0,0.0,0.0
Shannon Brooks,RB,22,257,1359,5.29,12,0.0,0.0,0.0,0.0
Shaq Vann,RB,42,497,2411,4.85,21,0.0,0.0,0.0,0.0
Shaquil Terry,RB,27,141,1382,9.8,8,0.0,0.0,0.0,0.0
Shaquille Murray-Lawrence,RB,12,47,418,8.89,2,0.0,0.0,0.0,0.0
Shaquille Powell,RB,39,321,1504,4.69,7,0.0,0.0,0.0,0.0
Shaquille Richard,RB,23,178,1032,5.8,5,0.0,0.0,0.0,0.0
Shaun Shivers,RB,12,143,592,4.14,6,0.0,0.0,0.0,0.0
Shaun Wick,RB,21,292,1732,5.93,15,0.0,0.0,0.0,0.0
Shaun Wilson,RB,38,391,2039,5.21,15,0.0,0.0,0.0,0.0
Shawn Johnson,RB,12,104,609,5.86,6,0.0,0.0,0.0,0.0
Shayne Davern,RB,11,111,513,4.62,8,0.0,0.0,0.0,0.0
Shedro Louis,RB,22,183,958,5.23,11,0.0,0.0,0.0,0.0
Shepard Little,RB,35,434,2783,6.41,24,0.0,0.0,0.0,0.0
Sherman Badie,RB,12,121,688,5.69,3,0.0,0.0,0.0,0.0
Shermari Jones,RB,23,243,1438,5.92,16,0.0,0.0,0.0,0.0
Shock Linwood,RB,48,713,4213,5.91,36,0.0,0.0,0.0,0.0
Shomari Lawrence,RB,11,107,597,5.58,3,0.0,0.0,0.0,0.0
Shontrelle Johnson,RB,12,90,358,3.98,3,0.0,0.0,0.0,0.0
ShunDerrick Powell,RB,11,221,1508,6.82,18,0.0,0.0,0.0,0.0
Sieh Bangura,RB,12,222,1078,4.86,13,0.0,0.0,0.0,0.0
Silas Redd,RB,6,81,376,4.64,1,0.0,0.0,0.0,0.0
Silas Spearman,RB,10,132,368,2.79,4,0.0,0.0,0.0,0.0
Sincere McCormick,RB,37,724,3929,5.43,34,0.0,0.0,0.0,0.0
Sirgeo Hoffman,RB,10,143,769,5.38,8,0.0,0.0,0.0,0.0
Sirgregory Thornton,RB,13,63,354,5.62,4,0.0,0.0,0.0,0.0
Skyler Howard,QB,13,157,502,3.2,6,0.0,0.0,0.0,0.0
Skyler Perry,QB,16,147,614,4.18,6,0.0,0.0,0.0,0.0
Snoop Conner,RB,35,304,1580,5.2,26,0.0,0.0,0.0,0.0
Sony Michel,RB,39,527,3228,6.13,28,0.0,0.0,0.0,0.0
Spencer Alston,RB,10,96,446,4.65,8,0.0,0.0,0.0,0.0
