Player,Position,Games Played,Pass Comp,Pass Att,Pass Comp Percentage,Pass Yds,Pass Yds Per Comp,Pass Yds Per Game,Pass TD,Int,Rush,Rush Yds,Rush TD,Rush Yds Per Attempt,Rush Yds Per Game
Trevone Boykin,QB,5,13,18,72.22,145,11.15,29.0,1,1,8.0,1.0,0.0,0.12,0.2
Trevor Lawrence,QB,34,746,1186,62.9,7754,10.39,228.06,37,25,135.0,625.0,7.0,4.63,18.38
Trevor Siemian,QB,34,621,1055,58.86,7027,11.32,206.68,42,28,73.0,211.0,2.0,2.89,6.21
Trey Lance,QB,8,56,102,54.9,797,14.23,99.62,5,3,54.0,235.0,1.0,4.35,29.38
Tua Tagovailoa,QB,36,708,1078,65.68,8015,11.32,222.64,52,23,101.0,307.0,6.0,3.04,8.53
Tyler Bray,QB,2,1,6,16.67,18,18.0,9.0,0,0,1.0,0.0,0.0,0.0,0.0
Tyler Huntley,QB,15,200,305,65.57,1754,8.77,116.93,5,7,100.0,454.0,3.0,4.54,30.27
Tyrod Taylor,QB,70,934,1520,61.45,10597,11.35,151.39,60,25,351.0,1996.0,18.0,5.69,28.11
Will Grier,QB,2,28,52,53.85,228,8.14,114.0,0,4,7.0,22.0,0.0,3.14,11.0
Zach Mettenberger,QB,14,208,345,60.29,2347,11.28,167.64,12,14,14.0,12.0,1.0,0.86,0.86
Zach Wilson,QB,22,345,625,55.2,4022,11.66,182.82,15,18,57.0,287.0,5.0,5.04,13.05
