Rank,Pos,Player,ByeWeek,Team,Tier,Salary,YearsPro,FantasyPoints
167,RB,Mark Ingram II,14,NO,RB,2960000,11,96
168,QB,Ryan Tannehill,6,TEN,QB,57000000,10,277
169,WR,Marvin Jones Jr.,11,JAC,WR,,,97
170,RB,Marlon Mack,6,HOU,RB,1430000,5,109
171,DEF,Indianapolis Colts,14,IND,DEF,,,
172,WR,Van Jefferson,7,LAR,WR,3610000,2,86
173,RB,Darrel Williams,13,ARI,RB,1050000,4,72
174,RB,Zamir White,6,LV,RB,3490000,0,51
175,K,Justin Tucker,10,BAL,K,9130000,10,
176,DEF,Denver Broncos,9,DEN,DEF,,,
177,DEF,New Orleans Saints,14,NO,DEF,,,
178,WR,Jameson Williams,6,DET,WR,7570000,0,76
179,QB,Daniel Jones,9,NYG,QB,2000000,3,267
180,TE,Logan Thomas,14,WAS,TE,18660000,8,80
181,QB,Mac Jones,10,NE,QB,6900000,1,260
182,DEF,New England Patriots,10,NE,DEF,,,
183,DEF,Los Angeles Rams,7,LAR,DEF,,,
184,WR,Jalen Tolbert,9,DAL,WR,4210000,0,89
185,TE,Hayden Hurst,10,CIN,TE,1480000,4,67
186,K,Tyler Bass,7,BUF,K,3300000,2,
187,WR,Wan'Dale Robinson,9,NYG,WR,4800000,0,46
188,WR,Christian Watson,14,GB,WR,5060000,0,80
189,RB,D'Onta Foreman,13,CAR,RB,1060000,5,56
190,RB,Gus Edwards,10,BAL,RB,8630000,4,95
191,RB,Brian Robinson Jr.,14,WAS,RB,,,65
192,RB,Sony Michel,0,MIA,RB,900000,4,60
193,K,Matt Gay,7,LAR,K,2540000,3,
194,WR,Isaiah McKenzie,7,BUF,WR,1350000,5,43
195,WR,Parris Campbell,14,IND,WR,3080000,3,77
196,WR,KJ Hamler,9,DEN,WR,,,43
197,WR,Jamison Crowder,7,BUF,WR,500000,7,78
198,DEF,Dallas Cowboys,9,DAL,DEF,,,
199,RB,Isiah Pacheco,8,KC,RB,3720000,0,8
200,DEF,Los Angeles Chargers,8,LAC,DEF,,,
201,K,Evan McPherson,10,CIN,K,3490000,1,
202,K,Daniel Carlson,6,LV,K,17780000,4,
203,WR,Curtis Samuel,14,WAS,WR,30000000,5,84
204,WR,Sterling Shepard,9,NYG,WR,16050000,6,74
205,RB,Samaje Perine,10,CIN,RB,2600000,6,51
206,WR,Donovan Peoples-Jones,9,CLE,WR,3300000,2,86
207,TE,Brevin Jordan,6,HOU,TE,3490000,1,58
208,QB,Carson Wentz,14,WAS,QB,6300000,6,253
209,RB,Ronald Jones II,8,KC,RB,750000,4,100
210,WR,Alec Pierce,14,IND,WR,4600000,0,69
211,DEF,Miami Dolphins,11,MIA,DEF,,,
212,DEF,Green Bay Packers,14,GB,DEF,,,
213,WR,David Bell,9,CLE,WR,4190000,0,50
214,WR,Kendrick Bourne,10,NE,WR,22000000,5,81
215,QB,Jared Goff,6,DET,QB,82830000,6,248
216,DEF,Kansas City Chiefs,8,KC,DEF,,,
217,QB,Zach Wilson,10,NYJ,QB,12230000,1,255
218,RB,Jerick McKinnon,8,KC,RB,1050000,8,73
219,RB,Boston Scott,7,PHI,RB,750000,4,51
220,K,Ryan Succop,11,TB,K,7500000,13,
221,K,Harrison Butker,8,KC,K,15280000,5,
222,WR,Romeo Doubs,14,GB,WR,3670000,0,41
223,RB,Chuba Hubbard,13,CAR,RB,3490000,1,44
224,WR,A.J. Green,13,ARI,WR,3500000,11,70
225,K,Matt Prater,13,ARI,K,4080000,15,
226,DEF,Cleveland Browns,9,CLE,DEF,,,
227,DEF,Baltimore Ravens,10,BAL,DEF,,,
228,RB,Damien Williams,14,ATL,RB,1120000,8,60
229,RB,Jeff Wilson Jr.,9,SF,RB,,,31
230,RB,Tyrion Davis-Price,9,SF,RB,3960000,0,30
231,DEF,Philadelphia Eagles,7,PHI,DEF,,,
232,WR,Laviska Shenault Jr.,13,JAC,WR,,,70
233,QB,Baker Mayfield,13,CAR,QB,29700000,4,221
234,TE,Jonnu Smith,10,NE,TE,18690000,5,45
235,RB,D'Ernest Johnson,9,CLE,RB,2430000,3,35
236,WR,Zay Jones,11,JAC,WR,11500000,5,53
237,K,Jason Sanders,11,MIA,K,16220000,4,
238,TE,Mo Alie-Cox,14,IND,TE,8710000,4,62
239,K,Rodrigo Blankenship,14,IND,K,2290000,2,
240,QB,Davis Mills,6,HOU,QB,4060000,1,230
241,DEF,Pittsburgh Steelers,9,PIT,DEF,,,
242,K,Younghoe Koo,14,ATL,K,18000000,5,
243,WR,Terrace Marshall Jr.,13,CAR,WR,,,50
244,RB,Mike Davis,10,BAL,RB,900000,7,24
245,RB,Trey Sermon,9,SF,RB,3960000,1,21
246,K,Brandon McManus,9,DEN,K,14200000,9,
247,WR,Braxton Berrios,10,NYJ,WR,1530000,4,55
248,K,Nick Folk,10,NE,K,3560000,14,
249,WR,Byron Pringle,14,CHI,WR,500000,4,69
250,RB,Rex Burkhead,6,HOU,RB,3210000,9,79
251,DEF,Arizona Cardinals,13,ARI,DEF,,,
252,K,Robbie Gould,9,SF,K,5220000,17,
253,RB,Zack Moss,7,BUF,RB,3700000,2,23
254,WR,Randall Cobb,14,GB,WR,2070000,11,79
255,K,Jake Elliott,7,PHI,K,13250000,5,
256,DEF,Cincinnati Bengals,10,CIN,DEF,,,
257,DEF,Tennessee Titans,6,TEN,DEF,,,
258,TE,Adam Trautman,14,NO,TE,3660000,2,54
259,WR,Sammy Watkins,14,GB,WR,1420000,8,61
260,WR,Bryan Edwards,14,ATL,WR,2220000,2,69
261,K,Dustin Hopkins,8,LAC,K,7590000,9,
262,QB,Marcus Mariota,14,ATL,QB,13750000,7,213
263,DEF,Carolina Panthers,13,CAR,DEF,,,
264,TE,Cameron Brate,11,TB,TE,4040000,8,50
265,WR,Cedrick Wilson Jr.,11,MIA,WR,,,63
266,RB,Myles Gaskin,11,MIA,RB,4310000,3,21
267,K,Greg Zuerlein,10,NYJ,K,990000,10,
268,DEF,Minnesota Vikings,7,MIN,DEF,,,
269,WR,Nelson Agholor,10,NE,WR,14880000,7,53
270,K,Wil Lutz,14,NO,K,9390000,6,
271,TE,C.J. Uzomah,10,NYJ,TE,10040000,7,55
272,K,Chris Boswell,9,PIT,K,12250000,8,
273,TE,Dan Arnold,11,JAC,TE,3310000,4,43
274,RB,Eno Benjamin,13,ARI,RB,3300000,2,29
275,K,Mason Crosby,14,GB,K,8230000,15,
276,WR,Marquez Callaway,14,NO,WR,2200000,2,40
277,QB,Deshaun Watson,9,CLE,QB,185000000,5,181
278,WR,William Fuller V,0,,WR,,,
279,RB,Kenyan Drake,0,,RB,3000000,6,77
280,RB,Chris Evans,10,CIN,RB,3490000,1,30
281,K,Greg Joseph,7,MIN,K,2430000,4,
282,DEF,Chicago Bears,14,CHI,DEF,,,
283,DEF,Washington Commanders,14,WAS,DEF,,,
284,RB,Matt Breida,9,NYG,RB,780000,5,52
285,WR,Odell Beckham Jr.,0,,WR,,,
286,QB,Mitch Trubisky,9,PIT,QB,,,169
287,TE,Trey McBride,13,ARI,TE,4530000,0,24
288,K,Graham Gano,9,NYG,K,8360000,13,
